date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,25,15,0.0,11.5,5,11,07:15 AM,10:24 PM,05:18 AM,08:37 PM,17,20,21,20,20,60,85,4.9,1009,25,9,130,13,Albany
2009-06-25,31,14,0.0,13.5,6,18,08:36 AM,10:56 PM,05:19 AM,08:37 PM,18,24,24,23,14,38,78,1.4,1008,31,8,231,8,Albany
2009-06-26,24,17,0.0,12.5,5,24,09:55 AM,11:23 PM,05:19 AM,08:37 PM,18,20,21,20,14,46,91,27.1,1005,24,9,258,8,Albany
2009-06-27,23,11,0.0,14.5,5,31,11:10 AM,11:47 PM,05:19 AM,08:37 PM,16,18,19,18,17,43,89,9.1,1007,23,7,304,11,Albany
2009-06-28,26,12,0.0,13.5,5,38,12:21 PM,No moonset,05:20 AM,08:37 PM,17,19,20,19,10,51,87,2.9,1004,26,7,145,6,Albany
2009-06-29,26,14,0.0,13.5,5,45,01:31 PM,12:10 AM,05:20 AM,08:37 PM,16,19,19,19,14,41,83,4.3,998,26,8,283,9,Albany
2009-06-30,26,13,0.0,13.5,5,51,02:39 PM,12:33 AM,05:21 AM,08:37 PM,16,19,19,19,17,48,84,14.1,1002,26,9,165,10,Albany
2009-07-01,23,13,0.0,14.5,5,58,03:47 PM,12:59 AM,05:21 AM,08:36 PM,17,18,19,18,13,58,93,11.5,1008,23,7,127,8,Albany
2009-07-02,21,14,0.0,9.5,4,65,04:52 PM,01:28 AM,05:22 AM,08:36 PM,16,17,18,17,11,90,95,11.6,1009,21,7,118,7,Albany
2009-07-03,24,13,0.0,13.5,5,72,05:55 PM,02:02 AM,05:22 AM,08:36 PM,15,18,19,18,19,50,85,5.1,1009,24,7,270,12,Albany
2009-07-04,22,13,0.0,12.5,4,78,06:52 PM,02:42 AM,05:23 AM,08:36 PM,13,17,18,17,27,48,77,1.5,1010,22,9,288,19,Albany
2009-07-05,25,10,0.0,14.5,6,85,07:42 PM,03:30 AM,05:24 AM,08:36 PM,11,17,18,17,21,10,69,0.0,1011,25,9,291,14,Albany
2009-07-06,27,6,0.0,14.5,6,92,08:24 PM,04:24 AM,05:24 AM,08:35 PM,11,18,18,18,7,15,67,0.2,1008,27,10,299,4,Albany
2009-07-07,23,12,0.0,14.5,4,99,08:59 PM,05:24 AM,05:25 AM,08:35 PM,15,17,18,17,7,31,87,11.9,1008,23,9,185,4,Albany
2009-07-08,23,9,0.0,14.5,4,94,09:29 PM,06:25 AM,05:26 AM,08:34 PM,13,16,17,16,14,43,82,5.7,1012,23,8,237,9,Albany
2009-07-09,23,9,0.0,12.5,4,88,09:54 PM,07:28 AM,05:26 AM,08:34 PM,13,16,16,16,9,54,84,0.8,1022,23,7,101,5,Albany
2009-07-10,27,8,0.0,14.5,6,81,10:16 PM,08:30 AM,05:27 AM,08:34 PM,13,19,19,19,15,25,73,0.0,1024,27,8,174,9,Albany
2009-07-11,27,12,0.0,12.5,5,74,10:36 PM,09:33 AM,05:28 AM,08:33 PM,16,20,20,20,29,60,81,6.5,1017,27,8,190,19,Albany
2009-07-12,24,13,0.0,14.5,4,67,10:57 PM,10:35 AM,05:29 AM,08:32 PM,11,18,19,18,23,21,68,18.9,1012,24,9,282,16,Albany
2009-07-13,24,7,0.0,14.5,5,61,11:18 PM,11:39 AM,05:29 AM,08:32 PM,8,16,17,16,23,16,60,0.0,1012,24,10,278,15,Albany
2009-07-14,23,10,0.0,14.5,5,54,11:41 PM,12:44 PM,05:30 AM,08:31 PM,9,16,18,16,23,22,63,0.0,1016,23,10,292,16,Albany
2009-07-15,26,9,0.0,14.5,6,47,No moonrise,01:53 PM,05:31 AM,08:31 PM,10,17,17,17,17,6,69,0.0,1017,26,8,271,10,Albany
2009-07-16,26,12,0.0,13.5,5,40,12:08 AM,03:04 PM,05:32 AM,08:30 PM,16,19,20,19,17,23,84,3.1,1010,26,10,220,10,Albany
2009-07-17,29,10,0.0,14.5,5,33,12:41 AM,04:18 PM,05:33 AM,08:29 PM,15,20,20,19,15,33,81,5.2,1009,29,10,210,9,Albany
2009-07-18,27,15,0.0,13.5,5,27,01:24 AM,05:31 PM,05:34 AM,08:28 PM,15,21,21,20,17,38,74,7.4,1008,27,9,248,11,Albany
2009-07-19,26,10,0.0,14.5,6,20,02:19 AM,06:36 PM,05:35 AM,08:28 PM,13,18,19,18,17,24,72,0.0,1017,26,9,285,11,Albany
2009-07-20,27,12,0.0,14.5,6,13,03:27 AM,07:32 PM,05:35 AM,08:27 PM,14,20,20,20,8,27,72,0.0,1022,27,10,78,5,Albany
2009-07-21,24,16,0.0,10.4,4,6,04:44 AM,08:17 PM,05:36 AM,08:26 PM,16,18,18,18,12,66,90,13.1,1021,24,7,88,7,Albany
2009-07-22,27,14,0.0,14.5,5,0,06:07 AM,08:53 PM,05:37 AM,08:25 PM,16,21,21,20,6,45,82,1.6,1020,27,7,195,4,Albany
2009-07-23,26,13,0.0,13.5,6,7,07:29 AM,09:22 PM,05:38 AM,08:24 PM,16,20,20,19,16,46,84,0.8,1017,26,7,133,10,Albany
2009-07-24,26,14,0.0,14.5,5,14,08:48 AM,09:48 PM,05:39 AM,08:23 PM,17,20,20,20,10,47,83,4.8,1011,26,7,185,6,Albany
2009-07-25,29,14,0.0,14.5,6,21,10:03 AM,10:12 PM,05:40 AM,08:22 PM,16,22,22,21,19,27,75,3.6,1012,29,8,214,11,Albany
2009-07-26,28,18,0.0,14.5,5,27,11:16 AM,10:36 PM,05:41 AM,08:21 PM,18,23,23,22,25,41,80,5.2,1011,28,8,181,17,Albany
2009-07-27,30,17,0.0,14.5,7,34,12:26 PM,11:01 PM,05:42 AM,08:20 PM,17,24,24,23,19,24,72,0.5,1012,30,9,228,12,Albany
2009-07-28,31,14,0.0,14.5,7,41,01:36 PM,11:30 PM,05:43 AM,08:19 PM,16,24,24,23,18,12,68,0.0,1013,31,10,218,10,Albany
2009-07-29,31,18,0.0,12.4,6,48,02:43 PM,No moonset,05:44 AM,08:18 PM,20,25,25,23,23,47,83,26.9,1009,31,6,189,14,Albany
2009-07-30,29,14,0.0,14.5,5,55,03:48 PM,12:02 AM,05:45 AM,08:17 PM,16,22,22,22,17,32,75,11.1,1010,29,7,265,11,Albany
2009-07-31,21,13,0.0,11.3,5,61,04:47 PM,12:41 AM,05:46 AM,08:16 PM,16,18,19,18,19,43,89,27.0,1011,21,7,237,11,Albany
2009-08-01,30,14,0.0,14.5,7,68,05:39 PM,01:26 AM,05:47 AM,08:15 PM,16,23,23,22,16,34,71,0.0,1016,30,8,231,9,Albany
2009-08-02,25,17,0.0,13.4,5,75,06:24 PM,02:18 AM,05:48 AM,08:14 PM,18,20,21,20,23,58,91,12.0,1013,25,8,196,15,Albany
2009-08-03,27,14,0.0,14.5,6,82,07:01 PM,03:16 AM,05:49 AM,08:12 PM,13,19,19,19,11,26,72,0.0,1014,27,8,249,7,Albany
2009-08-04,30,12,0.0,14.5,7,88,07:33 PM,04:17 AM,05:50 AM,08:11 PM,15,23,23,22,18,5,66,0.0,1013,30,10,201,11,Albany
2009-08-05,28,15,0.0,14.5,5,95,07:59 PM,05:20 AM,05:51 AM,08:10 PM,15,22,22,21,23,11,72,1.8,1012,28,9,272,14,Albany
2009-08-06,26,11,0.0,14.5,6,98,08:21 PM,06:23 AM,05:52 AM,08:09 PM,12,18,18,18,19,22,70,0.0,1014,26,8,299,12,Albany
2009-08-07,25,11,0.0,14.5,6,91,08:43 PM,07:26 AM,05:53 AM,08:07 PM,11,17,18,17,26,12,67,0.0,1017,25,9,304,17,Albany
2009-08-08,24,7,0.0,14.5,5,84,09:03 PM,08:28 AM,05:54 AM,08:06 PM,9,16,17,16,14,4,64,0.0,1023,24,10,277,8,Albany
2009-08-09,24,11,0.0,10.2,5,78,09:24 PM,09:31 AM,05:55 AM,08:05 PM,16,19,20,19,19,54,85,0.2,1017,24,8,183,13,Albany
2009-08-10,30,18,0.0,12.3,6,71,09:46 PM,10:35 AM,05:57 AM,08:03 PM,21,25,25,23,18,62,89,4.1,1010,30,6,271,11,Albany
2009-08-11,30,19,0.0,14.4,6,64,10:11 PM,11:42 AM,05:58 AM,08:02 PM,19,24,24,23,21,33,81,6.2,1010,30,9,307,13,Albany
2009-08-12,27,15,0.0,14.4,5,57,10:41 PM,12:51 PM,05:59 AM,08:01 PM,19,23,23,21,13,41,89,9.9,1015,27,7,192,7,Albany
2009-08-13,25,17,0.0,12.1,5,51,11:19 PM,02:02 PM,06:00 AM,07:59 PM,19,20,21,20,9,61,91,16.2,1019,25,8,113,6,Albany
2009-08-14,31,13,0.0,11.6,6,44,No moonrise,03:14 PM,06:01 AM,07:58 PM,16,22,22,21,7,30,76,0.0,1021,31,8,249,4,Albany
2009-08-15,32,12,0.0,11.6,7,37,12:06 AM,04:20 PM,06:02 AM,07:56 PM,16,23,23,22,7,12,71,0.0,1020,32,10,255,4,Albany
2009-08-16,33,16,0.0,11.6,6,30,01:06 AM,05:19 PM,06:03 AM,07:55 PM,18,26,26,24,9,17,72,0.8,1020,33,10,240,5,Albany
2009-08-17,33,16,0.0,11.6,7,24,02:18 AM,06:07 PM,06:04 AM,07:53 PM,18,26,26,24,11,8,72,0.3,1020,33,9,249,6,Albany
