date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,29,21,0.0,8.7,7,11,07:38 AM,07:04 PM,06:22 AM,05:25 PM,19,26,26,25,15,11,71,0.0,1011,29,10,240,10,Broome
2009-06-25,28,22,0.0,8.7,7,18,08:31 AM,08:10 PM,06:22 AM,05:26 PM,20,27,27,25,16,12,78,0.2,1012,28,10,274,11,Broome
2009-06-26,28,22,0.0,8.7,7,24,09:19 AM,09:13 PM,06:22 AM,05:26 PM,19,26,26,25,19,15,71,0.0,1013,28,10,230,13,Broome
2009-06-27,29,22,0.0,8.7,7,31,10:02 AM,10:11 PM,06:22 AM,05:26 PM,16,26,26,25,21,6,61,0.0,1012,29,10,228,14,Broome
2009-06-28,29,21,0.0,8.7,7,38,10:41 AM,11:07 PM,06:22 AM,05:26 PM,18,27,27,25,20,7,66,0.0,1012,29,10,224,12,Broome
2009-06-29,29,22,0.0,8.7,7,45,11:20 AM,No moonset,06:22 AM,05:27 PM,19,27,27,25,22,5,69,0.0,1012,29,10,222,15,Broome
2009-06-30,29,21,0.0,8.7,7,51,11:58 AM,12:01 AM,06:23 AM,05:27 PM,19,27,27,25,19,1,72,0.0,1013,29,10,221,12,Broome
2009-07-01,31,22,0.0,8.7,7,58,12:37 PM,12:54 AM,06:23 AM,05:27 PM,17,27,27,26,16,2,61,0.0,1014,31,10,208,9,Broome
2009-07-02,30,23,0.0,8.7,7,65,01:18 PM,01:48 AM,06:23 AM,05:28 PM,12,27,27,26,32,5,42,0.0,1014,30,10,127,20,Broome
2009-07-03,31,22,0.0,8.7,7,72,02:02 PM,02:42 AM,06:23 AM,05:28 PM,10,26,26,26,30,8,36,0.0,1015,31,10,125,19,Broome
2009-07-04,30,23,0.0,8.7,7,78,02:50 PM,03:37 AM,06:23 AM,05:28 PM,13,26,26,26,22,16,45,0.0,1014,30,10,143,14,Broome
2009-07-05,30,21,0.0,8.7,7,85,03:40 PM,04:29 AM,06:23 AM,05:29 PM,8,25,25,24,20,1,37,0.0,1014,30,10,138,12,Broome
2009-07-06,30,20,0.0,8.7,7,92,04:32 PM,05:21 AM,06:23 AM,05:29 PM,9,25,25,24,20,2,39,0.0,1014,30,10,140,11,Broome
2009-07-07,29,19,0.0,8.7,7,99,05:25 PM,06:08 AM,06:23 AM,05:29 PM,9,24,24,24,21,7,38,0.0,1014,29,10,134,12,Broome
2009-07-08,30,21,0.0,8.7,7,94,06:16 PM,06:53 AM,06:23 AM,05:29 PM,10,25,25,24,21,5,42,0.0,1014,30,10,158,12,Broome
2009-07-09,30,21,0.0,8.7,7,88,07:07 PM,07:34 AM,06:23 AM,05:30 PM,13,26,26,25,16,5,51,0.0,1013,30,10,169,9,Broome
2009-07-10,30,21,0.0,8.7,7,81,07:57 PM,08:11 AM,06:23 AM,05:30 PM,13,26,26,24,16,1,50,0.0,1013,30,10,174,9,Broome
2009-07-11,29,19,0.0,8.7,7,74,08:45 PM,08:46 AM,06:23 AM,05:30 PM,16,25,25,24,16,3,63,0.0,1012,29,10,221,9,Broome
2009-07-12,28,21,0.0,8.7,7,67,09:34 PM,09:20 AM,06:23 AM,05:31 PM,17,26,26,24,24,2,65,0.0,1012,28,10,221,15,Broome
2009-07-13,28,21,0.0,8.7,7,61,10:22 PM,09:54 AM,06:23 AM,05:31 PM,10,24,24,24,33,7,44,0.0,1014,28,10,139,22,Broome
2009-07-14,26,18,0.0,8.7,6,54,11:14 PM,10:28 AM,06:23 AM,05:31 PM,4,22,22,21,31,0,33,0.0,1016,26,10,126,21,Broome
2009-07-15,27,17,0.0,8.7,6,47,No moonrise,11:05 AM,06:22 AM,05:32 PM,4,21,21,21,30,0,32,0.0,1016,27,10,114,20,Broome
2009-07-16,28,16,0.0,8.7,6,40,12:07 AM,11:46 AM,06:22 AM,05:32 PM,5,21,21,21,23,0,35,0.0,1016,28,10,148,14,Broome
2009-07-17,28,16,0.0,8.7,6,33,01:05 AM,12:32 PM,06:22 AM,05:32 PM,4,21,21,21,22,0,33,0.0,1014,28,10,153,13,Broome
2009-07-18,29,16,0.0,8.7,6,27,02:07 AM,01:25 PM,06:22 AM,05:33 PM,6,21,21,21,16,0,39,0.0,1014,29,10,181,9,Broome
2009-07-19,28,16,0.0,8.7,6,20,03:12 AM,02:25 PM,06:22 AM,05:33 PM,11,22,22,22,16,2,52,0.0,1014,28,10,198,10,Broome
2009-07-20,28,19,0.0,8.7,7,13,04:16 AM,03:32 PM,06:22 AM,05:33 PM,18,25,25,23,18,24,72,0.0,1015,28,10,228,12,Broome
2009-07-21,28,20,0.0,8.7,7,6,05:19 AM,04:40 PM,06:21 AM,05:34 PM,15,25,25,24,17,6,60,0.0,1015,28,10,218,11,Broome
2009-07-22,27,21,0.0,8.7,6,0,06:16 AM,05:49 PM,06:21 AM,05:34 PM,11,25,25,24,20,26,44,0.0,1014,27,10,127,13,Broome
2009-07-23,30,23,0.0,8.7,7,7,07:08 AM,06:54 PM,06:21 AM,05:34 PM,13,27,27,26,19,28,47,0.0,1013,30,10,146,12,Broome
2009-07-24,31,22,0.0,8.7,7,14,07:54 AM,07:56 PM,06:21 AM,05:35 PM,16,27,27,26,16,12,56,0.0,1014,31,10,202,10,Broome
2009-07-25,31,22,0.0,8.7,7,21,08:36 AM,08:55 PM,06:20 AM,05:35 PM,17,28,28,26,19,20,60,0.0,1015,31,10,224,11,Broome
2009-07-26,32,23,0.0,8.7,7,27,09:16 AM,09:52 PM,06:20 AM,05:35 PM,14,28,28,27,30,11,46,0.0,1015,32,10,143,19,Broome
2009-07-27,28,21,0.0,8.7,7,34,09:55 AM,10:47 PM,06:20 AM,05:36 PM,7,24,24,24,32,1,34,0.0,1017,28,10,143,22,Broome
2009-07-28,28,18,0.0,8.7,6,41,10:35 AM,11:42 PM,06:19 AM,05:36 PM,7,23,23,23,30,1,36,0.0,1017,28,10,127,20,Broome
2009-07-29,27,19,0.0,8.7,6,48,11:16 AM,No moonset,06:19 AM,05:36 PM,6,22,22,22,32,2,35,0.0,1018,27,10,119,22,Broome
2009-07-30,27,17,0.0,8.7,6,55,12:00 PM,12:37 AM,06:19 AM,05:37 PM,4,21,21,21,31,0,31,0.0,1018,27,10,114,21,Broome
2009-07-31,28,18,0.0,8.7,6,61,12:46 PM,01:32 AM,06:18 AM,05:37 PM,6,22,22,22,28,1,35,0.0,1017,28,10,112,18,Broome
2009-08-01,28,18,0.0,8.7,6,68,01:36 PM,02:25 AM,06:18 AM,05:37 PM,4,22,22,22,29,0,32,0.0,1017,28,10,118,19,Broome
2009-08-02,28,18,0.0,8.7,6,75,02:27 PM,03:17 AM,06:17 AM,05:38 PM,5,22,22,22,29,0,32,0.0,1017,28,10,118,19,Broome
2009-08-03,28,18,0.0,8.7,6,82,03:20 PM,04:06 AM,06:17 AM,05:38 PM,5,22,22,22,27,0,33,0.0,1017,28,10,126,16,Broome
2009-08-04,29,17,0.0,8.7,6,88,04:12 PM,04:51 AM,06:16 AM,05:38 PM,6,22,22,22,22,0,37,0.0,1016,29,10,141,13,Broome
2009-08-05,30,17,0.0,8.7,6,95,05:03 PM,05:33 AM,06:16 AM,05:38 PM,7,22,22,22,17,0,39,0.0,1014,30,10,147,9,Broome
2009-08-06,30,17,0.0,8.7,7,98,05:53 PM,06:11 AM,06:16 AM,05:39 PM,7,23,23,23,18,0,38,0.0,1014,30,10,161,10,Broome
2009-08-07,30,18,0.0,8.7,7,91,06:42 PM,06:47 AM,06:15 AM,05:39 PM,7,23,23,23,18,0,37,0.0,1014,30,10,143,9,Broome
2009-08-08,31,18,0.0,8.7,7,84,07:31 PM,07:22 AM,06:15 AM,05:39 PM,8,24,24,24,19,0,37,0.0,1012,31,10,198,11,Broome
2009-08-09,30,17,0.0,8.7,7,78,08:20 PM,07:56 AM,06:14 AM,05:39 PM,11,24,24,23,16,0,48,0.0,1012,30,10,226,9,Broome
2009-08-10,30,18,0.0,8.7,7,71,09:10 PM,08:29 AM,06:13 AM,05:40 PM,12,24,24,24,19,0,51,0.0,1013,30,10,219,11,Broome
2009-08-11,29,17,0.0,8.7,7,64,10:02 PM,09:06 AM,06:13 AM,05:40 PM,15,24,24,23,16,1,60,0.0,1014,29,10,235,10,Broome
2009-08-12,28,19,0.0,8.7,7,57,10:57 PM,09:44 AM,06:12 AM,05:40 PM,17,24,24,23,17,5,70,0.0,1013,28,10,244,11,Broome
2009-08-13,29,20,0.0,8.7,7,51,11:56 PM,10:27 AM,06:12 AM,05:40 PM,16,24,24,24,17,7,66,0.0,1013,29,10,240,11,Broome
2009-08-14,29,19,0.0,8.7,7,44,No moonrise,11:16 AM,06:11 AM,05:41 PM,15,25,25,24,17,12,60,0.0,1014,29,10,226,10,Broome
2009-08-15,29,19,0.0,8.7,7,37,12:57 AM,12:11 PM,06:11 AM,05:41 PM,16,24,24,23,15,16,64,0.0,1014,29,10,240,10,Broome
2009-08-16,29,19,0.0,8.7,7,30,02:00 AM,01:13 PM,06:10 AM,05:41 PM,16,25,25,24,14,7,64,0.0,1013,29,10,238,9,Broome
2009-08-17,30,20,0.0,8.7,7,24,03:02 AM,02:19 PM,06:09 AM,05:41 PM,17,26,26,25,16,12,62,0.0,1014,30,10,248,10,Broome
