date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,28,10,0.0,14.5,6,11,07:38 AM,10:44 PM,05:40 AM,08:56 PM,15,21,21,20,13,10,75,0.0,1012,28,10,276,9,Cattaraugus
2009-06-25,30,15,0.0,14.5,6,18,08:59 AM,11:17 PM,05:40 AM,08:56 PM,17,23,23,22,17,28,73,14.7,1009,30,9,237,10,Cattaraugus
2009-06-26,24,15,0.0,13.5,5,24,10:17 AM,11:43 PM,05:41 AM,08:56 PM,18,20,21,20,20,45,88,15.1,1007,24,8,280,13,Cattaraugus
2009-06-27,24,13,0.0,13.5,6,31,11:32 AM,No moonset,05:41 AM,08:56 PM,14,18,19,18,14,36,78,0.0,1010,24,8,303,10,Cattaraugus
2009-06-28,20,14,0.0,12.5,4,38,12:43 PM,12:07 AM,05:41 AM,08:56 PM,15,16,16,16,19,37,92,14.6,1005,20,8,215,11,Cattaraugus
2009-06-29,23,14,0.0,14.5,4,45,01:52 PM,12:30 AM,05:42 AM,08:56 PM,15,17,18,17,19,42,83,5.0,999,23,8,248,12,Cattaraugus
2009-06-30,18,14,0.0,9.5,4,51,03:00 PM,12:54 AM,05:42 AM,08:56 PM,15,16,16,16,22,77,94,9.1,999,18,8,224,14,Cattaraugus
2009-07-01,21,13,0.0,12.5,4,58,04:07 PM,01:20 AM,05:43 AM,08:56 PM,16,16,17,16,12,72,93,9.1,1005,21,9,222,8,Cattaraugus
2009-07-02,19,15,0.0,11.5,4,65,05:13 PM,01:50 AM,05:43 AM,08:56 PM,16,17,17,17,15,76,96,6.4,1008,19,6,260,10,Cattaraugus
2009-07-03,18,15,0.0,9.5,4,72,06:15 PM,02:24 AM,05:44 AM,08:56 PM,15,16,16,16,21,93,95,10.8,1013,18,10,276,14,Cattaraugus
2009-07-04,20,12,0.0,13.5,4,78,07:12 PM,03:05 AM,05:45 AM,08:55 PM,12,15,16,15,21,42,81,0.1,1015,20,9,285,15,Cattaraugus
2009-07-05,23,7,0.0,14.5,5,85,08:02 PM,03:53 AM,05:45 AM,08:55 PM,10,15,16,15,12,7,73,0.0,1012,23,9,263,7,Cattaraugus
2009-07-06,24,12,0.0,14.5,5,92,08:44 PM,04:47 AM,05:46 AM,08:55 PM,12,18,18,18,19,18,74,1.5,1009,24,9,242,12,Cattaraugus
2009-07-07,20,11,0.0,14.5,4,99,09:19 PM,05:46 AM,05:46 AM,08:54 PM,12,15,16,15,21,36,79,1.8,1009,20,9,267,15,Cattaraugus
2009-07-08,21,10,0.0,11.5,4,94,09:49 PM,06:48 AM,05:47 AM,08:54 PM,12,14,15,14,13,58,84,0.7,1014,21,7,248,9,Cattaraugus
2009-07-09,25,9,0.0,14.5,6,88,10:14 PM,07:50 AM,05:48 AM,08:54 PM,12,18,18,18,12,21,74,0.0,1021,25,8,96,7,Cattaraugus
2009-07-10,27,14,0.0,14.5,6,81,10:36 PM,08:52 AM,05:49 AM,08:53 PM,14,21,21,21,19,14,67,0.0,1022,27,10,181,12,Cattaraugus
2009-07-11,24,18,0.0,11.4,5,74,10:57 PM,09:54 AM,05:49 AM,08:53 PM,18,20,21,20,31,47,90,9.5,1015,24,9,233,19,Cattaraugus
2009-07-12,21,8,0.0,14.5,5,67,11:18 PM,10:56 AM,05:50 AM,08:52 PM,9,15,15,15,15,7,68,0.0,1016,21,10,244,10,Cattaraugus
2009-07-13,21,7,0.0,14.5,5,61,11:39 PM,12:00 PM,05:51 AM,08:51 PM,8,14,15,14,18,15,67,0.0,1014,21,9,289,12,Cattaraugus
2009-07-14,21,8,0.0,14.5,5,54,No moonrise,01:05 PM,05:52 AM,08:51 PM,9,15,15,15,16,11,69,0.0,1019,21,10,286,10,Cattaraugus
2009-07-15,26,9,0.0,14.5,6,47,12:02 AM,02:13 PM,05:52 AM,08:50 PM,11,19,19,18,16,19,64,0.3,1017,26,10,203,10,Cattaraugus
2009-07-16,25,17,0.0,14.5,6,40,12:29 AM,03:25 PM,05:53 AM,08:49 PM,16,21,21,21,28,26,74,2.1,1009,25,10,245,19,Cattaraugus
2009-07-17,21,15,0.0,14.5,5,33,01:03 AM,04:38 PM,05:54 AM,08:49 PM,13,17,18,17,17,32,76,0.2,1008,21,10,198,11,Cattaraugus
2009-07-18,20,13,0.0,12.4,4,27,01:46 AM,05:51 PM,05:55 AM,08:48 PM,12,15,15,15,23,53,83,0.8,1011,20,9,260,16,Cattaraugus
2009-07-19,21,10,0.0,12.4,4,20,02:41 AM,06:57 PM,05:56 AM,08:47 PM,12,15,16,15,17,52,84,1.2,1018,21,7,263,12,Cattaraugus
2009-07-20,25,7,0.0,14.5,6,13,03:50 AM,07:52 PM,05:57 AM,08:46 PM,11,17,18,17,11,15,72,0.1,1021,25,9,109,6,Cattaraugus
2009-07-21,21,13,0.0,14.5,4,6,05:07 AM,08:37 PM,05:58 AM,08:46 PM,15,16,16,16,14,35,90,3.4,1020,21,9,89,8,Cattaraugus
2009-07-22,27,14,0.0,13.5,5,0,06:29 AM,09:13 PM,05:59 AM,08:45 PM,16,19,20,19,11,36,81,0.9,1018,27,9,150,6,Cattaraugus
2009-07-23,23,17,0.0,12.4,4,7,07:51 AM,09:43 PM,05:59 AM,08:44 PM,18,19,19,19,21,71,96,29.7,1011,23,8,168,13,Cattaraugus
