date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,27,14,0.0,14.5,6,11,06:29 AM,09:35 PM,04:31 AM,07:46 PM,12,20,20,20,24,5,65,0.0,1010,27,9,257,16,Chemung
2009-06-25,31,13,0.0,14.5,6,18,07:50 AM,10:07 PM,04:32 AM,07:47 PM,15,23,23,22,15,23,66,0.8,1008,31,10,274,9,Chemung
2009-06-26,23,17,0.0,11.5,5,24,09:08 AM,10:34 PM,04:32 AM,07:47 PM,19,20,20,20,20,53,94,34.4,1006,23,6,274,11,Chemung
2009-06-27,24,15,0.0,13.5,5,31,10:22 AM,10:58 PM,04:33 AM,07:47 PM,14,18,19,18,23,43,76,0.3,1009,24,9,334,16,Chemung
2009-06-28,26,13,0.0,12.5,5,38,11:33 AM,11:22 PM,04:33 AM,07:47 PM,13,18,18,18,15,42,78,2.2,1005,26,9,280,9,Chemung
2009-06-29,24,15,0.0,14.5,5,45,12:42 PM,11:46 PM,04:33 AM,07:46 PM,15,18,19,18,17,47,82,5.9,999,24,7,274,11,Chemung
2009-06-30,20,15,0.0,12.5,4,51,01:50 PM,No moonset,04:34 AM,07:46 PM,15,17,17,17,19,47,92,10.0,1000,20,8,198,12,Chemung
2009-07-01,26,13,0.0,13.5,5,58,02:57 PM,12:12 AM,04:34 AM,07:46 PM,15,18,19,18,14,47,82,6.5,1006,26,7,193,8,Chemung
2009-07-02,21,15,0.0,11.5,4,65,04:02 PM,12:41 AM,04:35 AM,07:46 PM,17,18,18,18,14,69,94,27.9,1008,21,8,254,8,Chemung
2009-07-03,21,13,0.0,10.5,4,72,05:04 PM,01:16 AM,04:35 AM,07:46 PM,15,17,17,17,20,80,89,4.9,1011,21,7,284,13,Chemung
2009-07-04,23,11,0.0,13.5,4,78,06:01 PM,01:57 AM,04:36 AM,07:46 PM,12,16,17,16,23,47,75,1.1,1013,23,8,302,16,Chemung
2009-07-05,24,9,0.0,14.5,5,85,06:51 PM,02:44 AM,04:37 AM,07:45 PM,10,16,16,16,11,22,71,0.0,1012,24,8,209,6,Chemung
2009-07-06,24,9,0.0,14.5,6,92,07:34 PM,03:39 AM,04:37 AM,07:45 PM,12,17,18,17,10,26,72,0.2,1009,24,10,240,6,Chemung
2009-07-07,19,9,0.0,14.5,4,99,08:09 PM,04:37 AM,04:38 AM,07:45 PM,13,14,14,14,16,29,92,13.4,1008,19,8,256,9,Chemung
2009-07-08,20,10,0.0,12.5,4,94,08:39 PM,05:39 AM,04:39 AM,07:44 PM,11,15,15,15,16,56,81,1.0,1013,20,7,273,10,Chemung
