date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,34,25,0.0,14.0,8,11,07:22 AM,09:25 PM,05:24 AM,07:25 PM,23,33,33,29,17,7,68,0.0,1011,34,10,234,11,Chenango
2009-06-25,36,26,0.0,14.0,8,18,08:33 AM,10:06 PM,05:24 AM,07:25 PM,23,35,35,30,18,21,67,0.0,1010,36,10,238,12,Chenango
2009-06-26,34,27,0.0,14.0,8,24,09:41 AM,10:42 PM,05:25 AM,07:25 PM,23,34,34,30,19,13,69,0.0,1010,34,10,222,13,Chenango
2009-06-27,33,27,0.0,14.0,8,31,10:46 AM,11:15 PM,05:25 AM,07:25 PM,24,35,35,30,18,10,75,0.3,1011,33,10,205,13,Chenango
2009-06-28,34,27,0.0,14.0,8,38,11:48 AM,11:47 PM,05:25 AM,07:25 PM,24,35,35,30,17,18,72,0.0,1012,34,10,219,12,Chenango
2009-06-29,34,27,0.0,14.0,7,45,12:47 PM,No moonset,05:26 AM,07:25 PM,23,34,34,30,17,16,69,1.3,1010,34,10,232,12,Chenango
2009-06-30,33,27,0.0,14.0,8,51,01:47 PM,12:19 AM,05:26 AM,07:26 PM,23,34,34,29,11,29,72,0.4,1009,33,10,222,8,Chenango
2009-07-01,34,25,0.0,14.0,8,58,02:46 PM,12:53 AM,05:26 AM,07:26 PM,23,34,34,29,12,8,70,0.6,1010,34,10,229,8,Chenango
2009-07-02,33,26,0.0,14.0,7,65,03:44 PM,01:31 AM,05:27 AM,07:25 PM,23,33,33,29,14,22,74,0.0,1014,33,10,168,9,Chenango
2009-07-03,33,27,0.0,14.0,8,72,04:41 PM,02:11 AM,05:27 AM,07:25 PM,25,35,35,30,15,5,76,0.2,1016,33,10,176,11,Chenango
2009-07-04,33,28,0.0,14.0,8,78,05:36 PM,02:56 AM,05:28 AM,07:25 PM,24,35,35,30,25,5,73,0.0,1015,33,10,192,18,Chenango
2009-07-05,34,28,0.0,14.0,8,85,06:26 PM,03:46 AM,05:28 AM,07:25 PM,24,35,35,30,29,3,70,0.0,1013,34,10,204,21,Chenango
2009-07-06,34,28,0.0,14.0,8,92,07:12 PM,04:39 AM,05:29 AM,07:25 PM,24,35,35,30,27,4,69,0.0,1012,34,10,207,19,Chenango
2009-07-07,30,27,0.0,14.0,6,99,07:52 PM,05:34 AM,05:29 AM,07:25 PM,24,33,33,28,16,28,78,2.2,1011,30,10,181,10,Chenango
2009-07-08,33,27,0.0,14.0,8,94,08:28 PM,06:30 AM,05:29 AM,07:25 PM,24,35,35,30,20,8,74,0.0,1011,33,10,199,14,Chenango
