date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,29,19,0.0,14.5,7,11,07:40 AM,10:28 PM,05:44 AM,08:36 PM,19,25,25,24,12,12,74,0.4,1009,29,10,277,8,Clinton
2009-06-25,32,20,0.0,13.5,6,18,08:58 AM,11:03 PM,05:44 AM,08:36 PM,19,27,27,25,11,14,67,0.0,1010,32,10,290,6,Clinton
2009-06-26,31,21,0.0,14.5,6,24,10:13 AM,11:33 PM,05:45 AM,08:36 PM,21,28,28,26,12,13,77,1.2,1007,31,10,227,7,Clinton
2009-06-27,27,20,0.0,14.5,7,31,11:25 AM,11:59 PM,05:45 AM,08:36 PM,19,26,26,24,13,9,77,0.0,1008,27,9,297,9,Clinton
2009-06-28,25,20,0.0,13.5,5,38,12:33 PM,No moonset,05:45 AM,08:36 PM,17,23,23,21,12,34,76,0.7,1006,25,8,249,7,Clinton
2009-06-29,28,21,0.0,14.5,6,45,01:40 PM,12:25 AM,05:46 AM,08:36 PM,17,26,26,24,13,10,66,0.0,1001,28,10,255,9,Clinton
2009-06-30,26,20,0.0,13.5,5,51,02:45 PM,12:52 AM,05:46 AM,08:36 PM,17,24,24,22,12,35,73,0.3,1001,26,10,196,6,Clinton
2009-07-01,29,19,0.0,13.5,6,58,03:49 PM,01:20 AM,05:47 AM,08:36 PM,19,26,26,24,7,33,73,2.0,1006,29,10,138,4,Clinton
2009-07-02,26,18,0.0,14.5,5,65,04:52 PM,01:52 AM,05:47 AM,08:36 PM,18,23,23,22,15,24,79,3.8,1009,26,10,273,10,Clinton
2009-07-03,24,17,0.0,14.5,5,72,05:53 PM,02:28 AM,05:48 AM,08:36 PM,16,22,22,21,18,21,76,3.4,1013,24,10,292,12,Clinton
2009-07-04,28,17,0.0,14.5,6,78,06:49 PM,03:10 AM,05:48 AM,08:36 PM,16,23,23,22,16,21,69,0.0,1014,28,10,285,11,Clinton
2009-07-05,25,18,0.0,13.5,5,85,07:40 PM,03:59 AM,05:49 AM,08:36 PM,15,20,21,20,12,37,71,0.1,1012,25,10,207,8,Clinton
2009-07-06,32,16,0.0,14.5,7,92,08:23 PM,04:52 AM,05:49 AM,08:35 PM,17,24,24,23,10,7,70,0.0,1009,32,9,266,6,Clinton
2009-07-07,30,19,0.0,14.5,7,99,09:00 PM,05:50 AM,05:50 AM,08:35 PM,16,25,25,24,13,14,63,0.0,1008,30,10,261,8,Clinton
2009-07-08,27,19,0.0,14.5,6,94,09:32 PM,06:50 AM,05:51 AM,08:35 PM,14,23,23,22,14,7,60,0.0,1013,27,10,238,9,Clinton
2009-07-09,26,17,0.0,14.5,6,88,09:59 PM,07:50 AM,05:51 AM,08:34 PM,15,22,22,21,12,19,71,0.1,1020,26,10,82,8,Clinton
2009-07-10,26,17,0.0,14.5,6,81,10:24 PM,08:50 AM,05:52 AM,08:34 PM,17,22,22,21,11,12,76,0.1,1025,26,9,126,7,Clinton
2009-07-11,28,17,0.0,14.5,5,74,10:47 PM,09:49 AM,05:52 AM,08:34 PM,19,24,24,22,20,32,81,3.1,1020,28,10,193,13,Clinton
2009-07-12,30,22,0.0,14.5,6,67,11:10 PM,10:49 AM,05:53 AM,08:33 PM,20,27,27,25,13,21,75,7.7,1014,30,9,247,8,Clinton
2009-07-13,30,19,0.0,14.5,6,61,11:34 PM,11:50 AM,05:54 AM,08:33 PM,18,26,26,24,7,25,68,0.8,1013,30,10,113,4,Clinton
2009-07-14,30,19,0.0,14.5,6,54,12:00 AM,12:52 PM,05:54 AM,08:32 PM,12,24,24,23,12,4,49,0.1,1018,30,10,286,8,Clinton
2009-07-15,29,15,0.0,14.5,7,47,No moonrise,01:58 PM,05:55 AM,08:32 PM,14,24,24,23,17,17,59,0.0,1019,29,10,192,10,Clinton
2009-07-16,33,22,0.0,14.5,6,40,12:29 AM,03:07 PM,05:56 AM,08:31 PM,19,29,29,27,17,20,63,0.8,1011,33,10,230,11,Clinton
2009-07-17,29,22,0.0,14.5,6,33,01:06 AM,04:18 PM,05:57 AM,08:30 PM,19,26,26,24,11,26,74,5.0,1008,29,10,202,6,Clinton
2009-07-18,27,19,0.0,14.5,6,27,01:51 AM,05:29 PM,05:57 AM,08:30 PM,16,24,24,23,16,18,68,0.2,1011,27,10,305,10,Clinton
2009-07-19,29,17,0.0,14.5,6,20,02:47 AM,06:34 PM,05:58 AM,08:29 PM,15,23,23,22,9,22,65,0.0,1019,29,10,192,6,Clinton
2009-07-20,25,19,0.0,14.5,6,13,03:55 AM,07:32 PM,05:59 AM,08:28 PM,18,23,23,22,12,32,78,0.1,1020,25,10,81,7,Clinton
2009-07-21,27,19,0.0,14.3,5,6,05:11 AM,08:18 PM,06:00 AM,08:28 PM,20,24,24,23,10,27,83,7.1,1019,27,9,108,6,Clinton
2009-07-22,29,20,0.0,11.6,7,0,06:30 AM,08:58 PM,06:01 AM,08:27 PM,20,26,26,25,13,21,78,0.5,1019,29,8,140,8,Clinton
2009-07-23,28,21,0.0,11.6,6,7,07:49 AM,09:31 PM,06:01 AM,08:26 PM,22,26,26,24,11,38,89,11.4,1013,28,8,116,7,Clinton
2009-07-24,28,20,0.0,11.6,6,14,09:04 AM,09:59 PM,06:02 AM,08:25 PM,20,25,25,24,9,32,80,6.4,1012,28,8,255,5,Clinton
2009-07-25,31,21,0.0,11.6,7,21,10:16 AM,10:26 PM,06:03 AM,08:25 PM,19,27,27,26,15,15,66,0.1,1013,31,10,198,9,Clinton
2009-07-26,32,23,0.0,11.6,6,27,11:26 AM,10:54 PM,06:04 AM,08:24 PM,20,29,29,26,14,26,69,1.3,1012,32,9,210,9,Clinton
2009-07-27,31,22,0.0,11.6,7,34,12:33 PM,11:22 PM,06:05 AM,08:23 PM,20,28,28,26,14,18,72,1.0,1014,31,10,198,9,Clinton
2009-07-28,31,21,0.0,11.6,7,41,01:40 PM,11:53 PM,06:05 AM,08:22 PM,21,29,29,26,12,22,75,0.8,1013,31,10,186,8,Clinton
2009-07-29,28,23,0.0,10.5,6,48,02:44 PM,No moonset,06:06 AM,08:21 PM,23,27,27,25,19,41,88,3.2,1010,28,9,203,11,Clinton
2009-07-30,31,22,0.0,11.6,7,55,03:47 PM,12:28 AM,06:07 AM,08:20 PM,21,28,28,26,14,32,77,4.0,1012,31,9,241,9,Clinton
2009-07-31,32,23,0.0,10.5,6,61,04:44 PM,01:08 AM,06:08 AM,08:19 PM,23,28,28,26,20,39,85,20.6,1012,32,8,237,13,Clinton
2009-08-01,30,21,0.0,11.6,6,68,05:37 PM,01:55 AM,06:09 AM,08:18 PM,21,27,27,25,12,21,81,0.8,1017,30,9,172,7,Clinton
2009-08-02,26,23,0.0,10.5,6,75,06:22 PM,02:47 AM,06:10 AM,08:17 PM,23,27,27,24,12,51,93,11.4,1013,26,7,189,7,Clinton
2009-08-03,31,21,0.0,11.6,7,82,07:01 PM,03:44 AM,06:11 AM,08:16 PM,20,28,28,25,10,12,76,0.0,1015,31,8,178,6,Clinton
2009-08-04,32,21,0.0,11.6,7,88,07:35 PM,04:43 AM,06:12 AM,08:15 PM,20,29,29,27,11,19,71,0.2,1014,32,8,207,7,Clinton
2009-08-05,30,22,0.0,11.6,7,95,08:03 PM,05:43 AM,06:12 AM,08:14 PM,19,27,27,25,12,33,68,0.0,1013,30,10,300,7,Clinton
2009-08-06,24,19,0.0,10.5,5,98,08:29 PM,06:43 AM,06:13 AM,08:13 PM,19,22,23,22,9,32,84,3.2,1014,24,10,150,6,Clinton
2009-08-07,29,18,0.0,11.6,6,91,08:53 PM,07:43 AM,06:14 AM,08:12 PM,15,22,22,22,11,11,66,0.0,1019,29,10,257,7,Clinton
2009-08-08,29,20,0.0,11.6,7,84,09:16 PM,08:43 AM,06:15 AM,08:10 PM,17,25,25,24,11,39,67,0.1,1022,29,10,193,7,Clinton
2009-08-09,35,23,0.0,11.6,8,78,09:39 PM,09:43 AM,06:16 AM,08:09 PM,21,31,31,28,11,13,68,0.2,1018,35,10,222,7,Clinton
2009-08-10,34,24,0.0,11.6,8,71,10:04 PM,10:44 AM,06:17 AM,08:08 PM,21,32,32,29,16,15,63,0.3,1014,34,10,271,10,Clinton
2009-08-11,33,24,0.0,11.6,6,64,10:31 PM,11:48 AM,06:18 AM,08:07 PM,22,31,31,28,9,29,74,3.1,1012,33,10,277,6,Clinton
2009-08-12,27,24,0.0,11.6,6,57,11:05 PM,12:54 PM,06:19 AM,08:06 PM,22,27,27,25,8,45,86,4.1,1013,27,10,255,5,Clinton
2009-08-13,29,22,0.0,11.6,6,51,11:45 PM,02:03 PM,06:20 AM,08:04 PM,22,27,27,25,12,34,83,2.8,1017,29,8,131,8,Clinton
2009-08-14,29,20,0.0,11.6,7,44,No moonrise,03:12 PM,06:20 AM,08:03 PM,21,27,27,25,11,31,80,0.0,1021,29,8,102,7,Clinton
2009-08-15,32,20,0.0,11.6,7,37,12:34 AM,04:18 PM,06:21 AM,08:02 PM,21,28,28,26,9,3,77,0.0,1021,32,8,180,6,Clinton
2009-08-16,33,22,0.0,11.6,7,30,01:35 AM,05:18 PM,06:22 AM,08:00 PM,20,30,30,27,10,1,68,0.0,1021,33,8,199,6,Clinton
2009-08-17,32,21,0.0,9.1,6,24,02:45 AM,06:08 PM,06:23 AM,07:59 PM,18,28,28,26,12,26,63,0.0,1021,32,10,186,8,Clinton
