date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,31,23,0.0,11.6,6,11,08:10 AM,10:34 PM,06:14 AM,08:39 PM,21,29,29,27,10,23,70,0.8,1010,31,10,204,6,Columbia
2009-06-25,36,21,0.0,11.6,8,18,09:25 AM,11:13 PM,06:14 AM,08:39 PM,20,30,30,28,9,15,62,0.0,1011,36,10,241,5,Columbia
2009-06-26,34,25,0.0,11.6,7,24,10:36 AM,11:46 PM,06:15 AM,08:39 PM,21,32,32,29,17,21,65,1.3,1010,34,10,215,11,Columbia
2009-06-27,36,24,0.0,11.6,7,31,11:44 AM,No moonset,06:15 AM,08:39 PM,21,32,32,29,15,24,62,0.0,1008,36,10,260,9,Columbia
2009-06-28,34,25,0.0,11.6,8,38,12:49 PM,12:16 AM,06:15 AM,08:39 PM,20,31,31,29,13,8,59,0.0,1007,34,10,152,8,Columbia
2009-06-29,36,24,0.0,11.6,8,45,01:52 PM,12:45 AM,06:16 AM,08:39 PM,20,31,31,28,10,13,62,0.0,1004,36,10,195,6,Columbia
2009-06-30,33,20,0.0,11.6,7,51,02:54 PM,01:15 AM,06:16 AM,08:39 PM,14,27,27,26,17,3,48,0.0,1004,33,10,281,10,Columbia
2009-07-01,34,18,0.0,11.6,7,58,03:56 PM,01:46 AM,06:16 AM,08:39 PM,14,27,27,27,19,16,47,0.0,1007,34,10,241,12,Columbia
2009-07-02,33,24,0.0,11.6,7,65,04:56 PM,02:20 AM,06:17 AM,08:39 PM,17,29,29,28,12,14,53,0.0,1011,33,10,288,8,Columbia
2009-07-03,30,20,0.0,11.6,7,72,05:55 PM,02:59 AM,06:17 AM,08:39 PM,16,26,26,25,15,9,59,0.0,1015,30,10,107,10,Columbia
2009-07-04,33,18,0.0,11.6,7,78,06:50 PM,03:43 AM,06:18 AM,08:39 PM,15,26,26,25,13,11,57,0.0,1017,33,10,112,7,Columbia
2009-07-05,30,23,0.0,10.5,7,85,07:41 PM,04:32 AM,06:18 AM,08:39 PM,21,28,28,26,21,40,76,12.0,1012,30,9,218,12,Columbia
2009-07-06,30,23,0.0,10.5,6,92,08:25 PM,05:26 AM,06:19 AM,08:39 PM,23,29,29,25,15,37,87,21.4,1008,30,8,231,9,Columbia
2009-07-07,30,21,0.0,11.6,6,99,09:04 PM,06:22 AM,06:19 AM,08:38 PM,22,28,28,25,13,41,82,2.3,1008,30,6,77,8,Columbia
2009-07-08,31,21,0.0,11.6,6,94,09:38 PM,07:19 AM,06:20 AM,08:38 PM,21,28,28,26,11,36,79,1.3,1011,31,7,117,8,Columbia
