date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,26,12,0.0,15.6,6,11,07:44 AM,10:49 PM,05:45 AM,09:00 PM,15,21,21,20,12,6,76,0.0,1012,26,9,260,7,Erie
2009-06-25,30,16,0.0,15.5,6,18,09:05 AM,11:21 PM,05:46 AM,09:00 PM,16,23,23,23,19,19,70,6.2,1009,30,10,231,10,Erie
2009-06-26,24,16,0.0,15.6,5,24,10:22 AM,11:48 PM,05:46 AM,09:01 PM,16,21,21,20,24,32,81,1.4,1008,24,9,281,14,Erie
2009-06-27,23,14,0.0,15.5,6,31,11:37 AM,No moonset,05:47 AM,09:01 PM,14,18,19,18,16,8,76,0.0,1011,23,10,314,10,Erie
2009-06-28,23,15,0.0,15.5,4,38,12:48 PM,12:12 AM,05:47 AM,09:00 PM,14,17,18,17,25,37,82,4.3,1005,23,9,223,14,Erie
2009-06-29,24,15,0.0,15.5,5,45,01:57 PM,12:36 AM,05:47 AM,09:00 PM,14,19,20,19,22,28,72,1.5,999,24,10,249,14,Erie
2009-06-30,18,15,0.0,11.6,4,51,03:05 PM,01:00 AM,05:48 AM,09:00 PM,15,17,17,17,25,72,91,5.9,999,18,10,253,17,Erie
2009-07-01,21,14,0.0,15.5,4,58,04:11 PM,01:26 AM,05:48 AM,09:00 PM,15,17,17,17,12,53,90,2.9,1005,21,7,245,8,Erie
2009-07-02,18,14,0.0,12.6,4,65,05:17 PM,01:55 AM,05:49 AM,09:00 PM,15,16,16,16,16,65,94,5.9,1009,18,7,258,11,Erie
2009-07-03,20,16,0.0,12.6,4,72,06:19 PM,02:29 AM,05:49 AM,09:00 PM,15,17,17,17,23,84,87,2.0,1014,20,10,287,16,Erie
2009-07-04,21,14,0.0,15.5,5,78,07:16 PM,03:11 AM,05:50 AM,09:00 PM,12,17,17,17,21,18,74,0.0,1015,21,10,295,15,Erie
2009-07-05,24,11,0.0,14.5,6,85,08:06 PM,03:58 AM,05:51 AM,08:59 PM,13,18,19,18,12,10,71,0.0,1012,24,10,243,7,Erie
2009-07-06,24,16,0.0,14.5,6,92,08:48 PM,04:53 AM,05:51 AM,08:59 PM,13,20,20,20,18,17,68,0.6,1009,24,10,235,12,Erie
2009-07-07,20,14,0.0,14.5,5,99,09:24 PM,05:52 AM,05:52 AM,08:59 PM,12,17,17,17,20,23,70,0.1,1009,20,10,298,14,Erie
2009-07-08,21,11,0.0,13.5,5,94,09:53 PM,06:53 AM,05:53 AM,08:58 PM,12,16,16,16,14,28,76,0.0,1014,21,10,302,9,Erie
2009-07-09,24,13,0.0,14.5,6,88,10:18 PM,07:56 AM,05:53 AM,08:58 PM,13,19,20,19,16,15,71,0.0,1021,24,10,75,10,Erie
2009-07-10,27,17,0.0,14.5,6,81,10:41 PM,08:58 AM,05:54 AM,08:57 PM,14,22,22,22,19,9,65,0.0,1021,27,10,171,10,Erie
2009-07-11,23,18,0.0,13.5,5,74,11:02 PM,10:00 AM,05:55 AM,08:57 PM,19,21,22,21,34,32,87,2.9,1015,23,10,240,19,Erie
2009-07-12,22,11,0.0,14.5,5,67,11:23 PM,11:02 AM,05:55 AM,08:56 PM,10,17,18,17,9,8,66,0.0,1016,22,10,263,6,Erie
2009-07-13,21,13,0.0,14.5,5,61,11:44 PM,12:04 PM,05:56 AM,08:56 PM,9,17,18,17,20,11,58,0.0,1015,21,10,259,13,Erie
2009-07-14,21,12,0.0,14.5,5,54,No moonrise,01:10 PM,05:57 AM,08:55 PM,10,16,17,16,15,11,64,0.0,1019,21,10,297,9,Erie
2009-07-15,26,10,0.0,14.5,6,47,12:07 AM,02:18 PM,05:58 AM,08:54 PM,11,21,21,20,18,18,59,0.1,1016,26,10,184,10,Erie
2009-07-16,25,20,0.0,14.5,6,40,12:35 AM,03:30 PM,05:59 AM,08:54 PM,16,23,23,22,30,14,68,0.0,1009,25,10,257,19,Erie
2009-07-17,23,14,0.0,13.4,5,33,01:09 AM,04:43 PM,06:00 AM,08:53 PM,14,18,19,18,18,41,76,3.2,1008,23,9,230,11,Erie
2009-07-18,21,14,0.0,13.4,4,27,01:52 AM,05:55 PM,06:00 AM,08:52 PM,13,17,17,17,25,42,77,1.2,1012,21,10,271,18,Erie
2009-07-19,21,11,0.0,10.5,4,20,02:47 AM,07:01 PM,06:01 AM,08:52 PM,13,16,17,16,15,32,79,0.6,1019,21,10,254,11,Erie
2009-07-20,24,11,0.0,11.6,6,13,03:56 AM,07:57 PM,06:02 AM,08:51 PM,12,19,19,19,14,17,69,0.1,1021,24,10,86,9,Erie
2009-07-21,23,16,0.0,11.6,4,6,05:13 AM,08:41 PM,06:03 AM,08:50 PM,16,18,19,18,19,37,86,1.9,1020,23,9,98,11,Erie
2009-07-22,22,15,0.0,11.6,4,0,06:35 AM,09:18 PM,06:04 AM,08:49 PM,16,18,19,18,15,40,89,1.6,1018,22,10,111,8,Erie
2009-07-23,21,18,0.0,7.2,4,7,07:57 AM,09:48 PM,06:05 AM,08:48 PM,18,19,19,19,23,86,96,9.9,1011,21,8,180,14,Erie
2009-07-24,23,16,0.0,11.6,5,14,09:15 AM,10:13 PM,06:06 AM,08:47 PM,16,19,20,19,20,34,82,1.8,1011,23,8,243,12,Erie
2009-07-25,25,17,0.0,9.4,5,21,10:29 AM,10:38 PM,06:07 AM,08:46 PM,17,21,21,20,32,36,79,3.8,1008,25,10,199,19,Erie
2009-07-26,23,17,0.0,11.6,5,27,11:42 AM,11:03 PM,06:08 AM,08:45 PM,17,19,20,19,30,29,87,4.7,1008,23,10,229,18,Erie
2009-07-27,25,17,0.0,11.6,5,34,12:52 PM,11:29 PM,06:09 AM,08:44 PM,16,21,21,20,21,28,78,0.3,1012,25,10,242,14,Erie
2009-07-28,28,18,0.0,11.6,6,41,02:01 PM,11:57 PM,06:10 AM,08:43 PM,17,24,24,23,26,19,71,0.1,1011,28,10,219,15,Erie
2009-07-29,23,19,0.0,10.5,5,48,03:08 PM,No moonset,06:10 AM,08:42 PM,18,21,22,21,16,31,87,5.1,1008,23,10,246,9,Erie
2009-07-30,26,13,0.0,11.6,6,55,04:12 PM,12:30 AM,06:11 AM,08:41 PM,15,21,21,20,11,20,77,0.0,1011,26,9,239,7,Erie
2009-07-31,25,16,0.0,11.6,6,61,05:11 PM,01:09 AM,06:12 AM,08:40 PM,15,21,21,20,12,24,72,0.1,1011,25,10,231,7,Erie
2009-08-01,26,15,0.0,11.6,6,68,06:03 PM,01:55 AM,06:13 AM,08:39 PM,14,22,22,21,18,18,67,0.0,1015,26,10,204,11,Erie
2009-08-02,24,15,0.0,11.6,4,75,06:48 PM,02:47 AM,06:14 AM,08:38 PM,16,19,19,19,21,33,85,1.4,1011,24,9,245,13,Erie
2009-08-03,26,15,0.0,11.6,6,82,07:26 PM,03:45 AM,06:15 AM,08:36 PM,13,22,22,21,23,12,64,0.1,1015,26,10,214,14,Erie
2009-08-04,26,19,0.0,11.6,5,88,07:57 PM,04:45 AM,06:16 AM,08:35 PM,18,23,23,22,30,22,78,2.0,1012,26,10,213,18,Erie
2009-08-05,22,15,0.0,11.6,5,95,08:23 PM,05:48 AM,06:18 AM,08:34 PM,13,19,19,19,17,22,71,0.6,1015,22,8,268,11,Erie
2009-08-06,23,12,0.0,11.6,6,98,08:46 PM,06:50 AM,06:19 AM,08:33 PM,12,18,19,18,13,17,69,0.0,1017,23,10,276,8,Erie
2009-08-07,23,13,0.0,11.6,5,91,09:08 PM,07:53 AM,06:20 AM,08:31 PM,11,18,19,18,12,14,67,0.0,1020,23,10,275,8,Erie
2009-08-08,23,13,0.0,9.3,4,84,09:29 PM,08:55 AM,06:21 AM,08:30 PM,14,18,19,18,26,47,77,11.2,1020,23,9,163,15,Erie
2009-08-09,30,19,0.0,11.6,6,78,09:50 PM,09:57 AM,06:22 AM,08:29 PM,21,26,26,24,35,40,84,6.2,1015,30,9,235,20,Erie
2009-08-10,30,21,0.0,11.6,6,71,10:12 PM,11:01 AM,06:23 AM,08:27 PM,21,25,25,24,29,25,85,3.1,1013,30,10,245,17,Erie
2009-08-11,25,18,0.0,11.6,5,64,10:37 PM,12:07 PM,06:24 AM,08:26 PM,20,23,23,22,11,46,92,2.3,1013,25,6,278,6,Erie
2009-08-12,25,17,0.0,11.6,5,57,11:08 PM,01:17 PM,06:25 AM,08:25 PM,18,21,21,21,12,26,84,0.8,1016,25,8,339,8,Erie
2009-08-13,27,15,0.0,11.6,6,51,11:47 PM,02:27 PM,06:26 AM,08:23 PM,17,22,22,21,7,13,79,0.1,1019,27,8,91,4,Erie
2009-08-14,29,17,0.0,11.6,7,44,No moonrise,03:38 PM,06:27 AM,08:22 PM,17,23,23,22,9,24,75,0.0,1021,29,10,167,5,Erie
2009-08-15,28,19,0.0,11.6,6,37,12:35 AM,04:44 PM,06:28 AM,08:20 PM,18,24,24,23,12,27,73,0.0,1020,28,10,187,7,Erie
2009-08-16,29,20,0.0,11.6,7,30,01:35 AM,05:43 PM,06:29 AM,08:19 PM,18,25,25,24,16,9,72,0.0,1020,29,10,198,9,Erie
2009-08-17,30,21,0.0,11.6,7,24,02:46 AM,06:32 PM,06:30 AM,08:17 PM,18,27,27,25,24,15,65,1.0,1019,30,10,213,13,Erie
