date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,28,17,0.0,14.5,6,11,07:37 AM,10:27 PM,05:41 AM,08:36 PM,18,23,23,22,13,14,77,0.1,1009,28,10,241,8,Essex
2009-06-25,30,19,0.0,14.5,7,18,08:55 AM,11:02 PM,05:41 AM,08:36 PM,18,26,26,24,12,8,72,0.0,1009,30,10,198,7,Essex
2009-06-26,30,19,0.0,13.5,6,24,10:11 AM,11:31 PM,05:41 AM,08:36 PM,20,26,26,24,13,22,79,1.0,1007,30,10,235,7,Essex
2009-06-27,26,19,0.0,14.5,6,31,11:23 AM,11:58 PM,05:42 AM,08:36 PM,18,23,23,22,15,14,79,0.0,1007,26,9,349,9,Essex
2009-06-28,25,18,0.0,13.5,5,38,12:31 PM,No moonset,05:42 AM,08:36 PM,16,20,20,20,15,38,79,1.4,1006,25,9,256,8,Essex
2009-06-29,27,18,0.0,14.5,6,45,01:39 PM,12:23 AM,05:42 AM,08:36 PM,16,23,23,22,15,11,71,0.0,1001,27,10,261,9,Essex
2009-06-30,25,18,0.0,13.5,5,51,02:44 PM,12:49 AM,05:43 AM,08:36 PM,17,21,22,21,14,39,76,0.4,1001,25,10,194,7,Essex
2009-07-01,28,16,0.0,14.5,5,58,03:49 PM,01:17 AM,05:43 AM,08:36 PM,18,23,23,22,5,26,79,4.4,1006,28,9,103,3,Essex
2009-07-02,25,18,0.0,13.5,5,65,04:52 PM,01:49 AM,05:44 AM,08:36 PM,18,22,22,21,16,25,85,2.3,1008,25,10,267,10,Essex
2009-07-03,24,16,0.0,14.5,5,72,05:53 PM,02:24 AM,05:44 AM,08:36 PM,16,20,21,20,21,26,80,1.7,1013,24,10,291,13,Essex
2009-07-04,27,16,0.0,14.5,6,78,06:50 PM,03:07 AM,05:45 AM,08:36 PM,15,22,22,21,19,27,72,0.0,1014,27,10,287,12,Essex
2009-07-05,25,17,0.0,14.5,6,85,07:40 PM,03:55 AM,05:45 AM,08:35 PM,14,20,21,20,13,38,71,0.0,1012,25,10,200,8,Essex
2009-07-06,28,15,0.0,14.5,6,92,08:23 PM,04:49 AM,05:46 AM,08:35 PM,15,21,21,21,10,6,71,0.0,1009,28,8,226,6,Essex
2009-07-07,29,19,0.0,14.5,7,99,09:00 PM,05:47 AM,05:47 AM,08:35 PM,15,24,24,23,15,11,63,0.0,1008,29,10,252,9,Essex
2009-07-08,25,16,0.0,14.5,6,94,09:32 PM,06:47 AM,05:47 AM,08:35 PM,13,20,21,20,14,8,66,0.0,1013,25,10,224,9,Essex
