date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,32,21,0.0,14.5,7,11,06:30 AM,09:02 PM,04:32 AM,07:08 PM,17,28,28,27,15,2,59,0.0,1012,32,10,49,10,Franklin
2009-06-25,35,19,0.0,14.5,8,18,07:46 AM,09:39 PM,04:32 AM,07:08 PM,19,30,30,28,8,10,62,0.0,1012,35,10,76,5,Franklin
2009-06-26,35,22,0.0,14.5,8,24,08:58 AM,10:11 PM,04:32 AM,07:08 PM,20,31,31,28,14,21,65,2.0,1010,35,10,241,8,Franklin
2009-06-27,36,24,0.0,14.5,7,31,10:07 AM,10:40 PM,04:33 AM,07:08 PM,23,33,33,29,12,17,73,5.2,1010,36,9,281,7,Franklin
2009-06-28,33,23,0.0,14.5,6,38,11:14 AM,11:08 PM,04:33 AM,07:08 PM,21,31,31,28,15,11,70,3.3,1009,33,10,260,10,Franklin
2009-06-29,31,18,0.0,14.5,7,45,12:18 PM,11:36 PM,04:34 AM,07:08 PM,14,25,25,25,16,4,56,0.0,1008,31,10,304,10,Franklin
2009-06-30,32,20,0.0,14.5,7,51,01:22 PM,No moonset,04:34 AM,07:08 PM,14,25,25,25,21,13,51,0.0,1006,32,10,277,13,Franklin
2009-07-01,29,20,0.0,14.5,7,58,02:24 PM,12:06 AM,04:34 AM,07:08 PM,16,24,24,24,14,19,62,0.0,1008,29,10,274,9,Franklin
2009-07-02,29,19,0.0,14.5,7,65,03:26 PM,12:40 AM,04:35 AM,07:08 PM,16,24,24,24,14,25,65,0.0,1014,29,10,263,10,Franklin
2009-07-03,31,17,0.0,14.5,7,72,04:25 PM,01:18 AM,04:35 AM,07:08 PM,16,24,24,23,10,9,66,0.0,1018,31,10,90,6,Franklin
2009-07-04,32,18,0.0,14.5,7,78,05:21 PM,02:01 AM,04:36 AM,07:08 PM,16,25,25,24,14,25,61,0.3,1016,32,10,165,8,Franklin
2009-07-05,27,20,0.0,12.4,5,85,06:11 PM,02:50 AM,04:36 AM,07:08 PM,22,26,26,23,19,65,92,58.8,1010,27,8,244,12,Franklin
2009-07-06,29,19,0.0,12.4,5,92,06:55 PM,03:44 AM,04:37 AM,07:07 PM,18,24,24,23,13,65,78,2.0,1011,29,6,55,9,Franklin
2009-07-07,30,18,0.0,14.5,7,99,07:33 PM,04:40 AM,04:38 AM,07:07 PM,16,25,25,24,13,12,63,0.0,1011,30,10,39,8,Franklin
2009-07-08,31,18,0.0,14.5,7,94,08:06 PM,05:39 AM,04:38 AM,07:07 PM,16,26,26,25,10,13,60,0.0,1012,31,10,57,7,Franklin
