date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,28,12,0.0,14.5,6,11,06:35 AM,09:40 PM,04:37 AM,07:51 PM,12,20,20,20,16,5,63,0.0,1011,28,10,293,10,Genesee
2009-06-25,30,14,0.0,14.5,6,18,07:56 AM,10:12 PM,04:37 AM,07:51 PM,16,23,23,22,18,22,71,3.7,1009,30,10,264,11,Genesee
2009-06-26,23,15,0.0,12.5,5,24,09:13 AM,10:39 PM,04:37 AM,07:51 PM,18,19,20,19,24,49,93,23.3,1007,23,8,283,14,Genesee
2009-06-27,24,13,0.0,13.5,5,31,10:27 AM,11:03 PM,04:38 AM,07:51 PM,13,18,19,18,19,45,75,0.0,1010,24,6,331,13,Genesee
2009-06-28,20,13,0.0,11.5,4,38,11:39 AM,11:27 PM,04:38 AM,07:51 PM,14,15,15,15,18,58,91,12.2,1005,20,7,239,11,Genesee
2009-06-29,22,14,0.0,14.5,4,45,12:47 PM,11:51 PM,04:39 AM,07:51 PM,13,17,18,17,20,49,80,2.1,999,22,7,261,13,Genesee
2009-06-30,18,14,0.0,9.5,4,51,01:55 PM,No moonset,04:39 AM,07:51 PM,15,15,16,15,21,70,96,6.3,1000,18,7,218,13,Genesee
2009-07-01,20,12,0.0,12.5,4,58,03:02 PM,12:17 AM,04:40 AM,07:51 PM,14,16,17,16,13,72,88,7.6,1005,20,6,202,9,Genesee
2009-07-02,20,14,0.0,13.5,4,65,04:07 PM,12:46 AM,04:40 AM,07:51 PM,15,16,16,16,17,63,90,13.5,1008,20,8,262,12,Genesee
2009-07-03,20,14,0.0,9.4,4,72,05:09 PM,01:21 AM,04:41 AM,07:51 PM,14,16,16,16,22,91,89,2.4,1012,20,9,279,16,Genesee
2009-07-04,21,11,0.0,13.5,4,78,06:06 PM,02:02 AM,04:41 AM,07:50 PM,11,15,16,15,24,49,77,0.2,1014,21,8,292,17,Genesee
2009-07-05,24,8,0.0,14.5,5,85,06:56 PM,02:50 AM,04:42 AM,07:50 PM,8,15,16,15,11,18,68,0.0,1012,24,8,291,7,Genesee
2009-07-06,24,10,0.0,14.5,5,92,07:39 PM,03:44 AM,04:43 AM,07:50 PM,10,17,17,17,16,24,70,0.9,1009,24,10,272,11,Genesee
2009-07-07,22,10,0.0,14.5,4,99,08:14 PM,04:43 AM,04:43 AM,07:49 PM,10,14,15,14,24,29,76,1.6,1008,22,7,259,16,Genesee
2009-07-08,19,9,0.0,14.5,5,94,08:44 PM,05:45 AM,04:44 AM,07:49 PM,11,13,14,13,16,53,82,0.1,1014,19,7,270,11,Genesee
