date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,28,16,0.0,15.6,5,11,07:39 AM,10:51 PM,05:40 AM,09:04 PM,19,24,24,23,12,8,80,0.8,1012,28,9,260,7,Hamilton
2009-06-25,28,20,0.0,15.6,5,18,09:01 AM,11:22 PM,05:41 AM,09:04 PM,20,24,24,23,14,27,85,25.4,1008,28,9,246,8,Hamilton
2009-06-26,23,16,0.0,15.6,5,24,10:20 AM,11:48 PM,05:41 AM,09:04 PM,16,20,21,20,20,15,82,6.7,1007,23,10,304,12,Hamilton
2009-06-27,24,14,0.0,15.6,6,31,11:35 AM,No moonset,05:42 AM,09:04 PM,15,19,20,19,14,10,75,0.0,1011,24,10,313,9,Hamilton
2009-06-28,22,17,0.0,15.6,4,38,12:47 PM,12:11 AM,05:42 AM,09:04 PM,17,19,19,19,14,36,88,12.1,1004,22,9,210,9,Hamilton
2009-06-29,22,16,0.0,15.6,4,45,01:57 PM,12:34 AM,05:42 AM,09:03 PM,16,18,19,18,16,38,88,14.1,998,22,9,239,10,Hamilton
2009-06-30,20,16,0.0,14.6,4,51,03:06 PM,12:57 AM,05:43 AM,09:03 PM,16,18,18,18,14,71,93,19.9,998,20,6,236,9,Hamilton
2009-07-01,21,15,0.0,14.6,4,58,04:13 PM,01:22 AM,05:43 AM,09:03 PM,17,18,19,18,7,67,92,11.2,1005,21,9,248,5,Hamilton
2009-07-02,20,16,0.0,12.6,4,65,05:20 PM,01:51 AM,05:44 AM,09:03 PM,17,18,18,18,10,72,94,17.3,1008,20,9,212,6,Hamilton
2009-07-03,20,15,0.0,14.5,4,72,06:22 PM,02:24 AM,05:45 AM,09:03 PM,15,17,17,17,21,64,86,2.2,1013,20,8,296,14,Hamilton
2009-07-04,20,13,0.0,15.6,4,78,07:20 PM,03:05 AM,05:45 AM,09:02 PM,13,16,17,16,21,20,77,0.0,1015,20,10,295,14,Hamilton
2009-07-05,23,10,0.0,15.6,5,85,08:09 PM,03:53 AM,05:46 AM,09:02 PM,13,18,19,18,12,13,73,2.8,1012,23,10,240,7,Hamilton
2009-07-06,21,14,0.0,15.6,4,92,08:52 PM,04:47 AM,05:46 AM,09:02 PM,14,18,19,18,11,19,79,5.9,1008,21,9,281,7,Hamilton
2009-07-07,17,11,0.0,14.5,4,99,09:27 PM,05:47 AM,05:47 AM,09:01 PM,11,14,14,14,19,45,84,2.8,1008,17,9,302,13,Hamilton
2009-07-08,21,12,0.0,15.5,4,94,09:55 PM,06:49 AM,05:48 AM,09:01 PM,13,16,17,16,14,35,83,3.8,1014,21,10,252,9,Hamilton
2009-07-09,24,13,0.0,15.5,6,88,10:19 PM,07:52 AM,05:49 AM,09:01 PM,15,19,20,19,11,10,80,0.6,1021,24,8,68,7,Hamilton
2009-07-10,27,14,0.0,15.5,6,81,10:41 PM,08:55 AM,05:49 AM,09:00 PM,16,22,22,21,12,14,76,0.0,1021,27,10,156,8,Hamilton
2009-07-11,24,16,0.0,15.5,5,74,11:01 PM,09:58 AM,05:50 AM,09:00 PM,18,22,22,21,28,31,83,13.4,1014,24,9,249,16,Hamilton
2009-07-12,22,12,0.0,14.5,5,67,11:21 PM,11:00 AM,05:51 AM,08:59 PM,10,17,18,17,17,12,64,0.1,1016,22,10,285,11,Hamilton
2009-07-13,21,13,0.0,14.5,5,61,11:42 PM,12:04 PM,05:52 AM,08:58 PM,10,16,17,16,24,12,64,0.0,1014,21,10,294,14,Hamilton
2009-07-14,21,11,0.0,13.5,4,54,No moonrise,01:10 PM,05:52 AM,08:58 PM,11,16,17,16,18,15,67,0.0,1019,21,10,296,11,Hamilton
2009-07-15,22,12,0.0,14.5,4,47,12:04 AM,02:19 PM,05:53 AM,08:57 PM,12,18,18,18,12,17,72,0.4,1016,22,10,209,7,Hamilton
2009-07-16,24,17,0.0,14.5,5,40,12:31 AM,03:32 PM,05:54 AM,08:56 PM,16,20,22,20,20,22,78,2.1,1008,24,10,257,12,Hamilton
2009-07-17,21,14,0.0,14.5,4,33,01:04 AM,04:46 PM,05:55 AM,08:56 PM,15,18,18,18,15,29,85,9.7,1007,21,9,233,9,Hamilton
2009-07-18,20,13,0.0,13.5,4,27,01:47 AM,05:59 PM,05:56 AM,08:55 PM,14,16,17,16,21,33,85,5.3,1010,20,9,284,13,Hamilton
2009-07-19,21,13,0.0,13.5,4,20,02:41 AM,07:05 PM,05:57 AM,08:54 PM,14,16,17,16,15,38,86,2.3,1018,21,9,262,10,Hamilton
2009-07-20,24,13,0.0,14.5,6,13,03:50 AM,08:00 PM,05:58 AM,08:53 PM,15,19,20,19,10,9,78,1.1,1021,24,9,127,6,Hamilton
2009-07-21,21,15,0.0,13.5,4,6,05:08 AM,08:44 PM,05:59 AM,08:52 PM,15,17,17,17,13,32,87,4.5,1020,21,9,75,7,Hamilton
