date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,28,12,0.0,14.5,5,11,07:19 AM,10:30 PM,05:22 AM,08:43 PM,14,20,20,19,17,17,75,0.8,1010,28,9,92,10,Herkimer
2009-06-25,31,12,0.0,14.5,7,18,08:41 AM,11:02 PM,05:22 AM,08:43 PM,16,22,22,21,15,14,75,1.6,1007,31,8,276,10,Herkimer
2009-06-26,23,15,0.0,13.5,4,24,10:00 AM,11:28 PM,05:23 AM,08:43 PM,16,18,18,18,18,46,86,8.8,1005,23,8,269,11,Herkimer
2009-06-27,24,11,0.0,12.5,4,31,11:15 AM,11:52 PM,05:23 AM,08:43 PM,14,16,17,16,22,55,86,3.0,1007,24,6,307,15,Herkimer
2009-06-28,29,10,0.0,14.5,6,38,12:26 PM,No moonset,05:23 AM,08:43 PM,14,19,19,18,9,44,76,0.0,1004,29,8,265,5,Herkimer
2009-06-29,26,11,0.0,13.5,5,45,01:37 PM,12:14 AM,05:24 AM,08:43 PM,13,18,18,18,19,30,77,0.0,998,26,8,272,13,Herkimer
2009-06-30,22,11,0.0,14.5,4,51,02:45 PM,12:37 AM,05:24 AM,08:43 PM,14,15,16,15,19,41,91,19.6,1001,22,8,164,12,Herkimer
2009-07-01,23,10,0.0,14.5,5,58,03:53 PM,01:03 AM,05:25 AM,08:43 PM,15,16,18,16,15,52,90,8.4,1006,23,6,146,9,Herkimer
2009-07-02,21,13,0.0,11.5,4,65,04:59 PM,01:32 AM,05:25 AM,08:43 PM,17,17,18,17,13,75,97,21.1,1008,21,7,182,8,Herkimer
2009-07-03,22,12,0.0,11.5,4,72,06:01 PM,02:05 AM,05:26 AM,08:42 PM,15,17,18,17,24,74,86,0.8,1009,22,8,272,17,Herkimer
2009-07-04,19,9,0.0,12.5,4,78,06:59 PM,02:46 AM,05:27 AM,08:42 PM,11,14,15,14,32,59,82,2.5,1011,19,6,288,23,Herkimer
2009-07-05,24,6,0.0,14.5,5,85,07:49 PM,03:34 AM,05:27 AM,08:42 PM,9,14,15,14,22,6,71,0.0,1011,24,8,289,14,Herkimer
2009-07-06,24,4,0.0,14.5,4,92,08:31 PM,04:28 AM,05:28 AM,08:41 PM,9,15,16,15,11,22,72,1.9,1008,24,10,262,8,Herkimer
2009-07-07,19,8,0.0,13.5,4,99,09:06 PM,05:27 AM,05:29 AM,08:41 PM,13,14,14,14,15,31,93,19.1,1007,19,8,212,9,Herkimer
2009-07-08,21,7,0.0,13.5,4,94,09:35 PM,06:29 AM,05:29 AM,08:41 PM,11,14,15,14,16,57,84,2.5,1013,21,6,298,10,Herkimer
2009-07-09,24,5,0.0,12.5,4,88,09:59 PM,07:33 AM,05:30 AM,08:40 PM,11,15,16,15,11,59,80,0.0,1022,24,7,73,6,Herkimer
2009-07-10,27,9,0.0,14.5,6,81,10:21 PM,08:35 AM,05:31 AM,08:40 PM,13,19,19,18,14,27,73,0.0,1024,27,8,172,8,Herkimer
2009-07-11,27,14,0.0,13.5,5,74,10:41 PM,09:38 AM,05:31 AM,08:39 PM,17,20,20,19,29,42,87,15.4,1016,27,8,206,18,Herkimer
2009-07-12,22,10,0.0,14.5,5,67,11:01 PM,10:40 AM,05:32 AM,08:39 PM,9,15,16,15,26,17,68,2.8,1013,22,10,288,18,Herkimer
2009-07-13,22,7,0.0,14.5,5,61,11:22 PM,11:44 AM,05:33 AM,08:38 PM,7,14,15,14,25,15,62,0.0,1012,22,10,274,18,Herkimer
2009-07-14,21,7,0.0,14.5,5,54,11:45 PM,12:49 PM,05:34 AM,08:37 PM,8,13,15,13,27,24,70,0.0,1016,21,10,286,18,Herkimer
2009-07-15,26,7,0.0,14.5,6,47,No moonrise,01:58 PM,05:35 AM,08:37 PM,9,16,17,16,17,8,66,0.0,1017,26,10,265,11,Herkimer
2009-07-16,24,11,0.0,13.5,5,40,12:12 AM,03:11 PM,05:36 AM,08:36 PM,15,17,18,17,19,27,87,7.1,1009,24,9,232,12,Herkimer
2009-07-17,26,11,0.0,12.4,4,33,12:45 AM,04:25 PM,05:36 AM,08:35 PM,14,16,16,16,19,45,86,9.2,1009,26,8,207,11,Herkimer
2009-07-18,24,12,0.0,13.5,5,27,01:28 AM,05:38 PM,05:37 AM,08:35 PM,13,18,18,18,22,50,78,18.4,1008,24,9,258,15,Herkimer
2009-07-19,23,8,0.0,14.5,5,20,02:22 AM,06:43 PM,05:38 AM,08:34 PM,11,15,16,15,21,30,78,0.1,1017,23,8,275,14,Herkimer
2009-07-20,27,6,0.0,14.5,6,13,03:30 AM,07:39 PM,05:39 AM,08:33 PM,11,16,17,16,6,24,74,0.0,1022,27,8,105,4,Herkimer
2009-07-21,25,11,0.0,13.5,4,6,04:48 AM,08:23 PM,05:40 AM,08:32 PM,14,17,17,17,14,53,84,0.5,1021,25,8,99,10,Herkimer
2009-07-22,26,9,0.0,14.5,6,0,06:11 AM,08:58 PM,05:41 AM,08:31 PM,14,19,19,18,7,50,79,0.0,1020,26,8,159,4,Herkimer
2009-07-23,28,14,0.0,14.5,5,7,07:34 AM,09:28 PM,05:42 AM,08:30 PM,16,20,20,20,23,31,80,1.2,1015,28,9,128,15,Herkimer
2009-07-24,21,14,0.0,12.4,4,14,08:52 AM,09:53 PM,05:43 AM,08:29 PM,16,17,17,17,11,54,90,0.6,1011,21,8,168,7,Herkimer
2009-07-25,28,10,0.0,14.5,6,21,10:08 AM,10:17 PM,05:44 AM,08:28 PM,14,20,20,20,18,39,72,0.3,1011,28,8,200,11,Herkimer
2009-07-26,28,16,0.0,13.5,5,27,11:22 AM,10:40 PM,05:45 AM,08:27 PM,17,20,20,20,23,37,83,2.3,1010,28,9,199,15,Herkimer
2009-07-27,27,13,0.0,14.5,5,34,12:32 PM,11:06 PM,05:46 AM,08:26 PM,15,20,20,19,22,39,77,0.9,1012,27,8,236,15,Herkimer
2009-07-28,30,12,0.0,14.5,7,41,01:42 PM,11:34 PM,05:47 AM,08:25 PM,14,21,21,21,18,12,68,0.1,1012,30,10,214,11,Herkimer
2009-07-29,29,15,0.0,13.4,5,48,02:50 PM,No moonset,05:48 AM,08:24 PM,17,22,22,21,19,42,80,25.7,1009,29,9,211,12,Herkimer
2009-07-30,26,13,0.0,14.5,6,55,03:54 PM,12:06 AM,05:49 AM,08:23 PM,14,19,19,19,19,28,74,3.0,1010,26,10,278,13,Herkimer
