date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,37,23,0.0,14.5,8,11,06:45 AM,09:30 PM,04:45 AM,07:37 PM,20,32,32,30,8,10,59,0.0,1013,37,10,162,5,Jefferson
2009-06-25,36,20,0.0,14.5,8,18,08:03 AM,10:05 PM,04:46 AM,07:37 PM,21,32,32,29,11,14,66,0.0,1011,36,10,289,7,Jefferson
2009-06-26,36,23,0.0,14.5,8,24,09:18 AM,10:34 PM,04:46 AM,07:37 PM,22,33,33,29,11,8,68,0.0,1010,36,9,181,7,Jefferson
2009-06-27,38,22,0.0,14.5,8,31,10:29 AM,11:02 PM,04:46 AM,07:37 PM,21,33,33,30,18,2,63,0.0,1010,38,10,213,11,Jefferson
2009-06-28,30,19,0.0,14.5,7,38,11:37 AM,11:28 PM,04:47 AM,07:37 PM,15,25,25,25,21,11,58,0.4,1013,30,10,325,14,Jefferson
2009-06-29,33,17,0.0,14.5,7,45,12:43 PM,11:54 PM,04:47 AM,07:37 PM,12,24,24,24,24,0,48,0.0,1009,33,10,282,15,Jefferson
2009-06-30,32,18,0.0,14.5,7,51,01:48 PM,No moonset,04:48 AM,07:37 PM,13,23,23,23,16,6,55,0.0,1007,32,10,290,11,Jefferson
2009-07-01,29,15,0.0,14.5,7,58,02:53 PM,12:23 AM,04:48 AM,07:37 PM,15,23,23,22,16,12,68,0.0,1010,29,10,321,11,Jefferson
2009-07-02,31,15,0.0,14.5,7,65,03:56 PM,12:55 AM,04:49 AM,07:37 PM,16,23,23,23,12,4,66,0.0,1015,31,9,182,8,Jefferson
2009-07-03,30,15,0.0,14.5,6,72,04:56 PM,01:32 AM,04:49 AM,07:37 PM,15,22,22,22,12,16,69,0.1,1018,30,10,98,6,Jefferson
2009-07-04,28,18,0.0,11.4,5,78,05:52 PM,02:14 AM,04:50 AM,07:37 PM,21,25,25,23,20,58,89,12.6,1012,28,8,199,12,Jefferson
2009-07-05,25,18,0.0,10.3,5,85,06:42 PM,03:03 AM,04:50 AM,07:37 PM,18,21,22,21,16,78,85,1.7,1013,25,7,103,11,Jefferson
2009-07-06,30,15,0.0,14.5,7,92,07:26 PM,03:57 AM,04:51 AM,07:36 PM,16,23,23,23,9,11,69,0.0,1014,30,9,99,5,Jefferson
2009-07-07,32,14,0.0,14.5,7,99,08:02 PM,04:54 AM,04:51 AM,07:36 PM,16,24,24,23,6,11,66,0.0,1012,32,10,237,4,Jefferson
2009-07-08,32,17,0.0,14.5,7,94,08:33 PM,05:54 AM,04:52 AM,07:36 PM,15,25,25,25,12,11,57,0.0,1011,32,10,204,7,Jefferson
