date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,27,12,0.0,8.7,6,11,08:18 AM,07:48 PM,06:47 AM,05:51 PM,1,18,18,18,16,0,36,0.0,1018,27,10,167,9,Livingston
2009-06-25,26,9,0.0,8.7,5,18,09:10 AM,08:53 PM,06:47 AM,05:51 PM,-4,16,16,16,15,0,26,0.0,1020,26,10,172,9,Livingston
2009-06-26,25,9,0.0,8.7,5,24,09:57 AM,09:54 PM,06:47 AM,05:52 PM,-3,15,16,15,20,0,30,0.0,1022,25,10,153,12,Livingston
2009-06-27,24,9,0.0,8.7,5,31,10:38 AM,10:51 PM,06:48 AM,05:52 PM,2,15,15,15,21,0,41,0.0,1022,24,10,111,13,Livingston
2009-06-28,24,9,0.0,8.7,5,38,11:18 AM,11:47 PM,06:48 AM,05:52 PM,4,16,16,16,15,2,48,0.0,1020,24,10,109,9,Livingston
2009-06-29,23,10,0.0,8.7,5,45,11:55 AM,No moonset,06:48 AM,05:52 PM,-0,15,16,15,25,0,37,0.0,1022,23,10,116,16,Livingston
2009-06-30,20,9,0.0,8.7,5,51,12:33 PM,12:40 AM,06:48 AM,05:53 PM,4,12,14,12,24,7,53,0.0,1026,20,10,99,16,Livingston
2009-07-01,20,8,0.0,8.7,5,58,01:13 PM,01:34 AM,06:48 AM,05:53 PM,4,12,13,12,21,11,56,0.0,1027,20,10,93,14,Livingston
2009-07-02,21,8,0.0,8.7,4,65,01:55 PM,02:28 AM,06:48 AM,05:53 PM,7,13,14,13,18,31,68,0.1,1027,21,10,86,12,Livingston
2009-07-03,22,8,0.0,8.7,5,72,02:40 PM,03:22 AM,06:48 AM,05:54 PM,7,14,15,14,17,19,64,0.0,1025,22,10,90,10,Livingston
2009-07-04,22,9,0.0,8.7,5,78,03:29 PM,04:16 AM,06:48 AM,05:54 PM,7,14,15,14,20,13,61,0.0,1024,22,10,102,13,Livingston
2009-07-05,20,12,0.0,8.7,4,85,04:19 PM,05:09 AM,06:48 AM,05:54 PM,7,15,15,15,19,28,60,0.6,1024,20,9,114,13,Livingston
2009-07-06,20,11,0.0,8.7,5,92,05:12 PM,05:59 AM,06:48 AM,05:54 PM,7,15,16,15,20,18,58,0.0,1023,20,10,115,13,Livingston
2009-07-07,23,11,0.0,8.7,5,99,06:04 PM,06:46 AM,06:48 AM,05:55 PM,5,15,16,15,22,14,51,0.0,1023,23,10,110,14,Livingston
2009-07-08,22,11,0.0,8.7,5,94,06:56 PM,07:29 AM,06:48 AM,05:55 PM,4,15,16,15,26,6,47,0.0,1025,22,10,108,17,Livingston
