date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,38,25,0.0,11.6,8,11,08:00 AM,10:17 PM,06:02 AM,08:19 PM,21,34,34,31,13,14,60,0.0,1010,38,10,35,8,Monroe
2009-06-25,36,23,0.0,11.6,8,18,09:14 AM,10:56 PM,06:03 AM,08:19 PM,17,31,31,29,13,0,51,0.0,1011,36,10,40,8,Monroe
2009-06-26,38,22,0.0,11.6,8,24,10:24 AM,11:30 PM,06:03 AM,08:20 PM,17,32,32,30,12,1,49,0.0,1010,38,10,57,7,Monroe
2009-06-27,41,24,0.0,11.6,9,31,11:31 AM,No moonset,06:03 AM,08:20 PM,20,36,36,32,7,11,53,0.0,1010,41,10,160,4,Monroe
2009-06-28,37,27,0.0,11.6,8,38,12:34 PM,12:01 AM,06:04 AM,08:20 PM,22,36,36,32,11,19,57,0.0,1010,37,10,211,7,Monroe
2009-06-29,35,24,0.0,11.6,7,45,01:37 PM,12:31 AM,06:04 AM,08:20 PM,21,31,31,29,16,22,67,6.3,1009,35,9,34,10,Monroe
2009-06-30,38,18,0.0,11.6,8,51,02:38 PM,01:02 AM,06:04 AM,08:20 PM,15,29,29,28,5,17,48,0.0,1009,38,10,174,3,Monroe
2009-07-01,38,25,0.0,11.6,8,58,03:39 PM,01:34 AM,06:05 AM,08:20 PM,17,32,32,31,9,10,45,0.0,1009,38,10,251,6,Monroe
2009-07-02,37,22,0.0,11.6,8,65,04:38 PM,02:09 AM,06:05 AM,08:20 PM,17,31,31,30,12,5,49,0.0,1013,37,10,45,7,Monroe
2009-07-03,38,23,0.0,11.6,8,72,05:37 PM,02:49 AM,06:06 AM,08:19 PM,16,32,32,30,12,9,46,0.0,1016,38,10,109,7,Monroe
2009-07-04,37,25,0.0,11.6,8,78,06:31 PM,03:34 AM,06:06 AM,08:19 PM,19,33,33,31,14,10,51,0.0,1014,37,10,197,9,Monroe
2009-07-05,36,25,0.0,10.5,7,85,07:22 PM,04:22 AM,06:07 AM,08:19 PM,22,32,32,29,16,32,68,1.8,1012,36,9,219,11,Monroe
2009-07-06,27,24,0.0,10.5,6,92,08:07 PM,05:16 AM,06:07 AM,08:19 PM,24,28,28,25,11,53,93,5.2,1011,27,9,278,7,Monroe
2009-07-07,32,21,0.0,10.5,6,99,08:46 PM,06:12 AM,06:08 AM,08:19 PM,20,28,28,26,9,50,71,0.0,1011,32,8,105,6,Monroe
2009-07-08,37,20,0.0,11.6,7,94,09:21 PM,07:09 AM,06:08 AM,08:19 PM,19,30,30,28,6,26,64,0.2,1011,37,10,138,4,Monroe
