date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,32,20,0.0,14.5,7,11,08:02 AM,11:08 PM,06:02 AM,09:20 PM,22,29,29,26,10,9,78,0.0,1011,32,9,265,6,Onondaga
2009-06-25,32,21,0.0,14.5,6,18,09:23 AM,11:40 PM,06:02 AM,09:20 PM,22,29,29,25,14,27,80,8.1,1009,32,10,272,8,Onondaga
2009-06-26,27,19,0.0,14.5,6,24,10:41 AM,No moonset,06:03 AM,09:20 PM,18,23,23,23,14,20,78,0.7,1009,27,9,258,9,Onondaga
2009-06-27,26,16,0.0,14.5,6,31,11:55 AM,12:06 AM,06:03 AM,09:20 PM,17,22,22,21,16,18,76,0.5,1011,26,9,135,10,Onondaga
2009-06-28,24,17,0.0,14.5,5,38,01:07 PM,12:30 AM,06:03 AM,09:20 PM,15,20,21,20,28,27,73,5.7,1005,24,10,255,18,Onondaga
2009-06-29,21,15,0.0,11.5,4,45,02:16 PM,12:54 AM,06:04 AM,09:20 PM,14,18,18,18,28,42,78,1.9,1000,21,10,267,18,Onondaga
2009-06-30,19,14,0.0,9.5,4,51,03:24 PM,01:18 AM,06:04 AM,09:20 PM,13,15,15,15,22,97,86,0.4,1002,19,9,294,15,Onondaga
2009-07-01,18,12,0.0,9.5,4,58,04:31 PM,01:43 AM,06:05 AM,09:19 PM,13,14,14,14,10,79,94,5.6,1006,18,6,263,7,Onondaga
2009-07-02,17,12,0.0,9.5,4,65,05:37 PM,02:12 AM,06:05 AM,09:19 PM,13,15,15,15,18,96,90,0.2,1012,17,6,298,13,Onondaga
2009-07-03,22,14,0.0,12.5,4,72,06:39 PM,02:47 AM,06:06 AM,09:19 PM,14,17,18,17,19,55,81,0.0,1017,22,10,304,13,Onondaga
2009-07-04,22,11,0.0,12.5,4,78,07:36 PM,03:28 AM,06:07 AM,09:19 PM,14,17,18,17,8,43,81,0.0,1017,22,8,229,5,Onondaga
2009-07-05,25,12,0.0,14.5,5,85,08:25 PM,04:15 AM,06:07 AM,09:18 PM,15,20,20,19,11,16,78,0.5,1013,25,8,302,7,Onondaga
2009-07-06,24,14,0.0,14.5,6,92,09:08 PM,05:10 AM,06:08 AM,09:18 PM,13,19,20,19,21,15,70,0.0,1010,24,10,294,13,Onondaga
2009-07-07,22,12,0.0,14.5,5,99,09:43 PM,06:09 AM,06:08 AM,09:18 PM,11,16,17,16,19,13,74,0.0,1011,22,9,329,13,Onondaga
2009-07-08,24,10,0.0,14.5,5,94,10:12 PM,07:11 AM,06:09 AM,09:17 PM,13,17,17,17,12,7,78,0.0,1016,24,8,45,7,Onondaga
