date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,26,14,0.0,14.5,6,11,07:46 AM,10:05 PM,05:42 AM,08:06 PM,11,20,20,20,10,1,63,0.0,1012,26,10,249,8,Orange
2009-06-25,26,15,0.0,14.5,6,18,09:00 AM,10:43 PM,05:43 AM,08:06 PM,13,20,20,20,12,0,65,0.0,1012,26,10,243,10,Orange
2009-06-26,28,15,0.0,14.5,6,24,10:10 AM,11:16 PM,05:43 AM,08:06 PM,12,22,22,21,10,0,59,0.0,1012,28,10,205,8,Orange
2009-06-27,31,16,0.0,14.5,7,31,11:18 AM,11:47 PM,05:43 AM,08:06 PM,13,24,24,24,8,0,55,0.0,1012,31,10,235,6,Orange
2009-06-28,32,19,0.0,14.5,7,38,12:22 PM,No moonset,05:44 AM,08:06 PM,13,25,25,25,10,0,48,0.0,1012,32,10,216,9,Orange
2009-06-29,29,18,0.0,14.5,7,45,01:25 PM,12:16 AM,05:44 AM,08:06 PM,12,24,24,24,11,5,49,0.0,1011,29,10,276,9,Orange
2009-06-30,28,17,0.0,14.5,6,51,02:27 PM,12:45 AM,05:44 AM,08:06 PM,11,22,22,22,13,11,51,0.0,1010,28,10,263,9,Orange
2009-07-01,28,15,0.0,14.5,6,58,03:29 PM,01:17 AM,05:45 AM,08:06 PM,12,22,22,22,12,4,54,0.0,1010,28,10,254,9,Orange
2009-07-02,28,16,0.0,14.5,7,65,04:29 PM,01:52 AM,05:45 AM,08:06 PM,12,22,22,22,11,4,54,0.0,1011,28,10,236,9,Orange
2009-07-03,29,15,0.0,14.5,7,72,05:28 PM,02:31 AM,05:46 AM,08:06 PM,11,22,22,22,11,5,52,0.0,1013,29,10,228,9,Orange
2009-07-04,29,17,0.0,14.5,7,78,06:22 PM,03:16 AM,05:46 AM,08:06 PM,12,24,24,23,11,0,52,0.0,1015,29,10,243,9,Orange
2009-07-05,29,17,0.0,14.5,7,85,07:12 PM,04:05 AM,05:47 AM,08:06 PM,13,23,23,23,10,0,58,0.0,1014,29,10,248,8,Orange
2009-07-06,28,16,0.0,14.5,7,92,07:56 PM,04:59 AM,05:47 AM,08:05 PM,13,23,23,22,10,0,60,0.0,1012,28,10,230,8,Orange
2009-07-07,28,16,0.0,14.5,6,99,08:34 PM,05:56 AM,05:48 AM,08:05 PM,13,22,22,22,10,0,62,0.0,1012,28,10,206,8,Orange
2009-07-08,27,14,0.0,14.5,6,94,09:08 PM,06:53 AM,05:48 AM,08:05 PM,12,21,21,21,10,4,62,0.0,1012,27,10,224,8,Orange
2009-07-09,28,14,0.0,14.5,6,88,09:39 PM,07:50 AM,05:49 AM,08:05 PM,10,20,20,20,11,8,57,0.0,1013,28,10,227,8,Orange
2009-07-10,31,14,0.0,14.5,7,81,10:06 PM,08:47 AM,05:49 AM,08:04 PM,11,22,22,23,10,12,51,0.0,1014,31,10,224,7,Orange
2009-07-11,32,17,0.0,14.5,7,74,10:31 PM,09:44 AM,05:50 AM,08:04 PM,13,25,25,25,10,2,51,0.0,1014,32,10,234,8,Orange
2009-07-12,33,18,0.0,14.5,7,67,10:58 PM,10:40 AM,05:50 AM,08:04 PM,14,26,26,26,10,1,53,0.0,1015,33,10,225,8,Orange
2009-07-13,33,20,0.0,14.5,7,61,11:25 PM,11:38 AM,05:51 AM,08:03 PM,14,26,26,26,9,0,52,0.0,1013,33,10,240,7,Orange
2009-07-14,30,19,0.0,14.5,7,54,11:54 PM,12:37 PM,05:52 AM,08:03 PM,14,25,25,25,9,0,56,0.0,1012,30,10,236,7,Orange
2009-07-15,31,18,0.0,14.5,7,47,No moonrise,01:40 PM,05:52 AM,08:03 PM,14,25,25,24,10,1,54,0.0,1015,31,10,269,7,Orange
2009-07-16,32,17,0.0,14.5,7,40,12:28 AM,02:46 PM,05:53 AM,08:02 PM,13,25,25,24,11,4,52,0.0,1016,32,10,279,9,Orange
2009-07-17,32,17,0.0,14.5,7,33,01:08 AM,03:55 PM,05:53 AM,08:02 PM,13,24,24,24,9,8,53,0.0,1015,32,10,243,7,Orange
2009-07-18,34,19,0.0,14.5,7,27,01:57 AM,05:03 PM,05:54 AM,08:01 PM,13,26,26,26,11,3,46,0.0,1013,34,10,194,8,Orange
2009-07-19,34,20,0.0,14.5,8,20,02:55 AM,06:08 PM,05:55 AM,08:01 PM,15,28,28,27,11,6,50,0.4,1013,34,10,143,8,Orange
