date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,16,14,0.0,9.5,4,11,07:05 AM,10:11 PM,05:09 AM,08:23 PM,14,14,15,14,17,97,96,3.0,1009,16,5,41,11,Rockland
2009-06-25,22,15,0.0,11.5,4,18,08:26 AM,10:43 PM,05:09 AM,08:24 PM,17,18,19,18,11,67,91,1.0,1009,22,6,110,7,Rockland
2009-06-26,24,17,0.0,13.5,5,24,09:44 AM,11:11 PM,05:09 AM,08:24 PM,18,20,20,20,18,45,90,5.7,1005,24,10,216,10,Rockland
2009-06-27,24,15,0.0,14.5,5,31,10:58 AM,11:35 PM,05:10 AM,08:24 PM,17,19,20,19,12,26,86,5.0,1006,24,8,159,7,Rockland
2009-06-28,16,14,0.0,9.5,4,38,12:09 PM,11:59 PM,05:10 AM,08:24 PM,15,15,15,15,18,99,98,4.1,1004,16,5,142,11,Rockland
2009-06-29,22,16,0.0,12.5,4,45,01:19 PM,No moonset,05:11 AM,08:24 PM,17,18,19,18,14,65,94,4.6,998,22,7,222,8,Rockland
2009-06-30,22,15,0.0,13.5,4,51,02:26 PM,12:22 AM,05:11 AM,08:23 PM,16,18,19,18,14,43,87,1.0,1004,22,9,113,10,Rockland
2009-07-01,21,16,0.0,14.5,4,58,03:33 PM,12:48 AM,05:12 AM,08:23 PM,16,17,18,17,15,53,90,12.4,1010,21,9,88,9,Rockland
2009-07-02,19,15,0.0,10.5,4,65,04:38 PM,01:18 AM,05:12 AM,08:23 PM,16,16,16,16,16,84,97,23.9,1010,19,7,106,10,Rockland
2009-07-03,23,15,0.0,14.5,5,72,05:41 PM,01:52 AM,05:13 AM,08:23 PM,18,19,20,19,12,56,91,9.7,1009,23,6,208,7,Rockland
2009-07-04,22,16,0.0,14.5,5,78,06:38 PM,02:32 AM,05:13 AM,08:23 PM,16,19,20,19,24,24,82,10.8,1008,22,9,278,14,Rockland
2009-07-05,24,14,0.0,14.5,6,85,07:28 PM,03:21 AM,05:14 AM,08:22 PM,13,19,19,19,23,14,68,0.0,1009,24,10,274,13,Rockland
2009-07-06,24,15,0.0,14.5,5,92,08:10 PM,04:14 AM,05:15 AM,08:22 PM,15,20,20,20,12,27,76,0.2,1008,24,10,190,7,Rockland
2009-07-07,18,16,0.0,13.5,4,99,08:46 PM,05:14 AM,05:15 AM,08:22 PM,15,17,17,17,19,38,92,6.4,1009,18,10,150,11,Rockland
2009-07-08,21,14,0.0,11.4,4,94,09:16 PM,06:15 AM,05:16 AM,08:21 PM,15,16,16,16,16,78,95,5.7,1012,21,8,99,11,Rockland
