date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,25,17,0.0,12.5,5,11,06:15 AM,09:26 PM,04:18 AM,07:39 PM,17,21,21,21,20,45,82,5.0,1009,25,10,128,13,Schenectady
2009-06-25,32,15,0.0,14.5,6,18,07:37 AM,09:57 PM,04:18 AM,07:39 PM,18,24,24,23,14,37,76,0.8,1008,32,8,239,9,Schenectady
2009-06-26,24,17,0.0,13.5,5,24,08:56 AM,10:23 PM,04:19 AM,07:39 PM,18,20,21,20,15,43,88,22.4,1005,24,8,261,8,Schenectady
2009-06-27,22,13,0.0,14.5,5,31,10:10 AM,10:47 PM,04:19 AM,07:39 PM,16,18,19,18,18,43,88,7.4,1007,22,7,305,12,Schenectady
2009-06-28,26,13,0.0,13.5,5,38,11:22 AM,11:10 PM,04:19 AM,07:39 PM,16,20,20,19,11,51,83,0.7,1004,26,6,198,7,Schenectady
2009-06-29,26,14,0.0,13.5,5,45,12:32 PM,11:34 PM,04:20 AM,07:39 PM,15,19,19,19,16,29,80,0.7,998,26,9,284,10,Schenectady
2009-06-30,25,13,0.0,13.5,5,51,01:41 PM,11:59 PM,04:20 AM,07:38 PM,16,19,19,19,17,47,86,17.1,1001,25,8,171,10,Schenectady
2009-07-01,24,14,0.0,14.5,5,58,02:48 PM,No moonset,04:21 AM,07:38 PM,17,19,19,19,13,49,92,4.0,1007,24,7,133,8,Schenectady
2009-07-02,22,15,0.0,10.5,5,65,03:54 PM,12:28 AM,04:21 AM,07:38 PM,17,18,19,18,10,85,94,11.7,1009,22,7,134,7,Schenectady
2009-07-03,24,16,0.0,13.5,5,72,04:56 PM,01:02 AM,04:22 AM,07:38 PM,16,19,20,19,21,56,83,2.0,1009,24,6,270,14,Schenectady
2009-07-04,22,12,0.0,12.5,4,78,05:53 PM,01:43 AM,04:23 AM,07:38 PM,13,17,18,17,28,39,76,0.7,1010,22,9,288,20,Schenectady
2009-07-05,25,9,0.0,14.5,6,85,06:43 PM,02:30 AM,04:23 AM,07:37 PM,10,17,17,17,22,8,68,0.0,1011,25,9,290,14,Schenectady
2009-07-06,26,6,0.0,14.5,6,92,07:26 PM,03:25 AM,04:24 AM,07:37 PM,11,18,18,18,7,16,68,0.3,1008,26,10,293,4,Schenectady
2009-07-07,23,12,0.0,13.5,4,99,08:01 PM,04:23 AM,04:25 AM,07:37 PM,15,17,18,17,8,34,86,10.1,1008,23,9,195,5,Schenectady
2009-07-08,23,10,0.0,14.5,4,94,08:30 PM,05:26 AM,04:25 AM,07:36 PM,12,16,17,16,14,29,82,4.6,1012,23,8,276,9,Schenectady
