date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,29,13,0.0,14.5,6,11,07:33 AM,10:32 PM,05:36 AM,08:43 PM,13,21,21,21,24,4,63,0.0,1010,29,10,133,15,Schuyler
2009-06-25,31,13,0.0,14.5,7,18,08:53 AM,11:06 PM,05:36 AM,08:43 PM,14,23,23,22,16,9,61,0.0,1009,31,10,262,9,Schuyler
2009-06-26,26,16,0.0,14.5,5,24,10:10 AM,11:34 PM,05:36 AM,08:43 PM,19,22,22,21,18,26,91,12.5,1007,26,8,279,10,Schuyler
2009-06-27,26,14,0.0,14.5,6,31,11:23 AM,11:59 PM,05:37 AM,08:43 PM,14,20,20,20,20,29,73,0.2,1008,26,8,259,13,Schuyler
2009-06-28,27,13,0.0,12.5,4,38,12:33 PM,No moonset,05:37 AM,08:43 PM,14,17,18,17,14,37,82,6.7,1006,27,8,249,8,Schuyler
2009-06-29,27,13,0.0,14.5,6,45,01:42 PM,12:23 AM,05:38 AM,08:43 PM,14,20,20,19,18,42,75,0.2,1000,27,8,271,11,Schuyler
2009-06-30,22,15,0.0,14.5,4,51,02:48 PM,12:48 AM,05:38 AM,08:43 PM,16,18,18,18,16,37,87,14.5,1001,22,9,221,9,Schuyler
2009-07-01,26,12,0.0,13.5,5,58,03:55 PM,01:14 AM,05:39 AM,08:43 PM,15,20,20,19,15,45,81,4.5,1006,26,8,206,9,Schuyler
2009-07-02,24,14,0.0,14.5,5,65,04:59 PM,01:45 AM,05:39 AM,08:43 PM,17,19,20,19,12,44,89,27.8,1008,24,8,248,8,Schuyler
2009-07-03,23,12,0.0,12.5,4,72,06:01 PM,02:19 AM,05:40 AM,08:43 PM,15,17,18,17,19,56,86,8.9,1012,23,7,291,12,Schuyler
2009-07-04,25,12,0.0,14.5,6,78,06:58 PM,03:01 AM,05:40 AM,08:42 PM,12,18,18,18,20,25,69,0.0,1013,25,8,303,14,Schuyler
2009-07-05,25,10,0.0,14.5,6,85,07:48 PM,03:49 AM,05:41 AM,08:42 PM,12,18,18,18,11,7,71,0.0,1012,25,9,259,7,Schuyler
2009-07-06,27,9,0.0,14.5,6,92,08:30 PM,04:43 AM,05:41 AM,08:42 PM,11,19,19,19,11,18,64,0.0,1009,27,10,249,7,Schuyler
2009-07-07,27,11,0.0,14.5,5,99,09:07 PM,05:42 AM,05:42 AM,08:42 PM,12,18,18,18,15,24,69,0.4,1008,27,10,259,9,Schuyler
2009-07-08,22,9,0.0,14.5,5,94,09:37 PM,06:42 AM,05:43 AM,08:41 PM,11,16,17,16,14,37,74,0.0,1014,22,9,283,9,Schuyler
