date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,4,-4,0.0,11.1,2,11,08:54 AM,08:28 PM,07:08 AM,06:13 PM,-10,-4,-1,-4,17,1,52,0.0,1021,4,10,258,10,Seneca
2009-06-25,3,-5,0.0,11.1,2,18,09:44 AM,09:32 PM,07:08 AM,06:13 PM,-10,-4,-1,-4,15,0,51,0.0,1022,3,10,256,9,Seneca
2009-06-26,6,-5,0.0,11.1,2,24,10:29 AM,10:31 PM,07:09 AM,06:14 PM,-10,-3,-1,-3,12,0,50,0.0,1021,6,10,209,7,Seneca
2009-06-27,4,-6,0.0,11.1,2,31,11:11 AM,11:28 PM,07:09 AM,06:14 PM,-8,-3,-2,-3,8,1,60,0.0,1021,4,10,222,4,Seneca
2009-06-28,6,-6,0.0,11.1,2,38,11:49 AM,No moonset,07:09 AM,06:14 PM,-7,-3,-1,-3,12,1,64,0.0,1022,6,10,209,6,Seneca
2009-06-29,6,-6,0.0,11.1,2,45,12:27 PM,12:22 AM,07:09 AM,06:15 PM,-10,-4,-2,-4,12,0,52,0.0,1019,6,10,229,6,Seneca
2009-06-30,6,-8,0.0,11.1,2,51,01:06 PM,01:16 AM,07:09 AM,06:15 PM,-10,-4,-2,-4,12,2,55,0.0,1019,6,10,159,6,Seneca
2009-07-01,5,-6,0.0,11.1,2,58,01:47 PM,02:09 AM,07:09 AM,06:15 PM,-9,-5,-2,-5,16,1,57,0.0,1020,5,10,244,8,Seneca
2009-07-02,5,-6,0.0,11.1,2,65,02:29 PM,03:03 AM,07:09 AM,06:15 PM,-9,-5,-2,-5,16,1,55,0.0,1020,5,10,248,8,Seneca
2009-07-03,5,-7,0.0,11.1,2,72,03:16 PM,03:57 AM,07:09 AM,06:16 PM,-9,-5,-2,-5,16,1,57,0.0,1020,5,10,251,8,Seneca
2009-07-04,3,-6,0.0,11.1,2,78,04:04 PM,04:51 AM,07:09 AM,06:16 PM,-11,-7,-3,-7,16,0,56,0.0,1021,3,10,253,9,Seneca
2009-07-05,5,-7,0.0,11.1,2,85,04:56 PM,05:44 AM,07:10 AM,06:16 PM,-11,-6,-3,-6,14,0,52,0.0,1021,5,10,253,8,Seneca
2009-07-06,5,-7,0.0,11.1,2,92,05:48 PM,06:33 AM,07:10 AM,06:17 PM,-12,-5,-2,-5,13,0,50,0.0,1020,5,10,220,7,Seneca
2009-07-07,5,-7,0.0,11.1,2,99,06:40 PM,07:19 AM,07:10 AM,06:17 PM,-11,-5,-2,-5,15,1,52,0.0,1019,5,10,269,8,Seneca
2009-07-08,5,-6,0.0,11.1,2,94,07:32 PM,08:01 AM,07:10 AM,06:17 PM,-9,-4,-1,-4,11,1,58,0.0,1020,5,10,279,6,Seneca
