date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,28,20,0.0,14.5,6,11,06:44 AM,09:22 PM,04:49 AM,07:29 PM,19,25,25,24,12,17,78,0.4,1009,28,10,253,8,Suffolk
2009-06-25,30,21,0.0,14.5,7,18,08:01 AM,09:58 PM,04:49 AM,07:29 PM,19,27,27,25,15,14,71,0.1,1010,30,10,242,9,Suffolk
2009-06-26,31,21,0.0,14.5,6,24,09:15 AM,10:29 PM,04:49 AM,07:29 PM,21,29,29,26,17,15,74,1.6,1008,31,10,217,10,Suffolk
2009-06-27,30,21,0.0,14.5,7,31,10:24 AM,10:58 PM,04:50 AM,07:30 PM,19,27,27,25,17,15,72,0.2,1007,30,10,231,11,Suffolk
2009-06-28,29,20,0.0,14.5,7,38,11:31 AM,11:26 PM,04:50 AM,07:30 PM,18,26,26,24,13,22,70,0.0,1006,29,10,272,8,Suffolk
2009-06-29,29,22,0.0,14.5,7,45,12:36 PM,11:53 PM,04:50 AM,07:30 PM,17,27,27,25,15,8,61,0.0,1002,29,10,255,10,Suffolk
2009-06-30,30,19,0.0,14.5,7,51,01:40 PM,No moonset,04:51 AM,07:29 PM,16,26,26,25,14,7,59,0.0,1002,30,10,227,8,Suffolk
2009-07-01,31,23,0.0,14.5,7,58,02:43 PM,12:23 AM,04:51 AM,07:29 PM,18,28,28,27,12,21,60,0.1,1005,31,10,241,7,Suffolk
2009-07-02,29,21,0.0,14.5,7,65,03:45 PM,12:56 AM,04:52 AM,07:29 PM,18,27,27,25,13,19,68,0.2,1009,29,10,283,8,Suffolk
2009-07-03,27,21,0.0,14.5,6,72,04:45 PM,01:33 AM,04:52 AM,07:29 PM,16,25,25,24,16,32,62,0.5,1014,27,9,313,10,Suffolk
2009-07-04,28,19,0.0,14.5,7,78,05:41 PM,02:16 AM,04:53 AM,07:29 PM,16,25,25,24,16,23,62,0.0,1015,28,10,274,10,Suffolk
2009-07-05,22,21,0.0,10.3,5,85,06:31 PM,03:05 AM,04:53 AM,07:29 PM,18,21,23,21,13,67,84,12.0,1012,22,9,140,8,Suffolk
2009-07-06,28,20,0.0,13.4,5,92,07:15 PM,03:58 AM,04:54 AM,07:29 PM,20,24,24,23,11,42,83,7.9,1008,28,10,176,8,Suffolk
2009-07-07,29,18,0.0,14.5,7,99,07:53 PM,04:55 AM,04:54 AM,07:28 PM,18,25,25,24,12,7,71,0.0,1009,29,9,176,7,Suffolk
2009-07-08,28,20,0.0,14.5,6,94,08:26 PM,05:54 AM,04:55 AM,07:28 PM,16,25,25,23,20,10,66,0.0,1012,28,10,131,12,Suffolk
