date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,12,10,0.0,11.1,3,11,06:29 AM,10:26 PM,04:14 AM,08:46 PM,11,9,11,9,26,87,95,31.6,1004,12,6,127,16,Sullivan
2009-06-25,11,9,0.0,10.2,3,18,07:59 AM,10:48 PM,04:14 AM,08:45 PM,8,9,10,9,15,84,87,7.1,1019,11,7,261,10,Sullivan
2009-06-26,15,9,0.0,12.8,3,24,09:27 AM,11:06 PM,04:15 AM,08:45 PM,6,11,12,11,12,57,72,0.0,1024,15,10,281,9,Sullivan
2009-06-27,11,8,0.0,11.1,3,31,10:50 AM,11:22 PM,04:15 AM,08:45 PM,9,8,10,8,23,84,94,13.4,1022,11,8,170,15,Sullivan
2009-06-28,13,6,0.0,11.0,3,38,12:09 PM,11:37 PM,04:16 AM,08:45 PM,8,9,10,9,11,67,86,2.2,1025,13,8,236,8,Sullivan
2009-06-29,15,5,0.0,14.5,4,45,01:27 PM,11:53 PM,04:16 AM,08:45 PM,6,8,10,8,20,34,77,0.0,1024,15,8,323,14,Sullivan
2009-06-30,15,7,0.0,14.5,4,51,02:43 PM,No moonset,04:17 AM,08:45 PM,6,9,11,9,22,14,75,0.0,1024,15,8,319,16,Sullivan
2009-07-01,16,7,0.0,14.5,4,58,03:58 PM,12:11 AM,04:18 AM,08:44 PM,7,10,12,10,22,16,76,0.0,1024,16,9,317,16,Sullivan
2009-07-02,19,9,0.0,14.5,5,65,05:11 PM,12:33 AM,04:18 AM,08:44 PM,9,13,14,13,19,21,77,0.0,1020,19,7,317,13,Sullivan
2009-07-03,20,7,0.0,14.5,5,72,06:17 PM,01:02 AM,04:19 AM,08:44 PM,9,14,14,14,15,16,75,0.0,1018,20,8,310,10,Sullivan
2009-07-04,20,8,0.0,14.5,5,78,07:16 PM,01:39 AM,04:20 AM,08:43 PM,9,13,14,13,16,10,73,0.0,1017,20,8,299,10,Sullivan
2009-07-05,20,8,0.0,14.5,5,85,08:04 PM,02:26 AM,04:21 AM,08:43 PM,11,14,14,14,13,51,81,0.1,1013,20,7,303,8,Sullivan
2009-07-06,13,10,0.0,10.1,3,92,08:40 PM,03:24 AM,04:22 AM,08:42 PM,10,11,11,11,11,93,93,1.4,1013,13,5,211,8,Sullivan
2009-07-07,12,9,0.0,10.1,3,99,09:09 PM,04:28 AM,04:23 AM,08:41 PM,10,9,10,9,13,95,97,21.0,1013,12,7,137,8,Sullivan
2009-07-08,18,8,0.0,12.7,4,94,09:30 PM,05:37 AM,04:23 AM,08:41 PM,10,13,13,13,7,54,80,0.0,1016,18,7,203,4,Sullivan
