date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,32,19,0.0,14.5,7,11,07:39 AM,10:37 PM,05:38 AM,08:47 PM,23,30,30,26,9,10,81,0.2,1013,32,10,230,6,Tioga
2009-06-25,31,21,0.0,14.5,6,18,08:58 AM,11:10 PM,05:38 AM,08:47 PM,24,31,31,26,15,10,85,5.3,1010,31,8,275,9,Tioga
2009-06-26,29,21,0.0,13.5,6,24,10:15 AM,11:38 PM,05:38 AM,08:47 PM,20,26,26,25,13,26,75,0.0,1011,29,9,120,7,Tioga
2009-06-27,31,21,0.0,14.5,6,31,11:29 AM,No moonset,05:39 AM,08:47 PM,20,29,29,26,25,15,71,5.6,1009,31,9,216,16,Tioga
2009-06-28,25,17,0.0,14.5,6,38,12:39 PM,12:03 AM,05:39 AM,08:47 PM,14,22,22,22,30,2,63,0.0,1012,25,10,290,19,Tioga
2009-06-29,26,16,0.0,14.5,6,45,01:48 PM,12:26 AM,05:40 AM,08:47 PM,14,22,22,21,27,1,66,0.0,1007,26,10,296,17,Tioga
2009-06-30,21,15,0.0,12.5,4,51,02:55 PM,12:51 AM,05:40 AM,08:47 PM,13,18,18,18,20,36,73,0.0,1008,21,10,320,13,Tioga
2009-07-01,22,15,0.0,11.4,4,58,04:01 PM,01:18 AM,05:41 AM,08:47 PM,15,18,19,18,13,57,82,0.0,1010,22,10,260,9,Tioga
2009-07-02,25,14,0.0,14.5,6,65,05:06 PM,01:48 AM,05:41 AM,08:46 PM,15,19,20,19,10,8,80,0.0,1016,25,8,280,7,Tioga
2009-07-03,27,15,0.0,14.5,5,72,06:07 PM,02:23 AM,05:42 AM,08:46 PM,17,22,22,21,15,20,79,0.2,1018,27,10,208,9,Tioga
2009-07-04,20,16,0.0,9.4,4,78,07:04 PM,03:05 AM,05:42 AM,08:46 PM,17,18,18,18,20,81,92,80.5,1013,20,6,93,13,Tioga
2009-07-05,26,15,0.0,14.5,5,85,07:54 PM,03:53 AM,05:43 AM,08:46 PM,18,21,21,20,14,21,84,0.2,1014,26,7,261,9,Tioga
2009-07-06,27,15,0.0,14.5,6,92,08:36 PM,04:47 AM,05:44 AM,08:45 PM,17,22,22,21,12,8,79,1.1,1013,27,10,287,7,Tioga
2009-07-07,28,18,0.0,14.5,5,99,09:12 PM,05:46 AM,05:44 AM,08:45 PM,20,24,24,23,12,12,85,7.3,1011,28,8,214,7,Tioga
2009-07-08,25,17,0.0,11.4,5,94,09:42 PM,06:47 AM,05:45 AM,08:45 PM,18,20,20,20,13,55,91,10.5,1012,25,9,80,9,Tioga
2009-07-09,26,16,0.0,13.5,5,88,10:07 PM,07:49 AM,05:45 AM,08:44 PM,18,22,22,20,18,44,84,0.0,1016,26,10,117,13,Tioga
2009-07-10,28,20,0.0,12.4,5,81,10:30 PM,08:51 AM,05:46 AM,08:44 PM,22,26,26,24,17,47,88,9.3,1015,28,9,139,11,Tioga
2009-07-11,27,19,0.0,13.5,5,74,10:51 PM,09:52 AM,05:47 AM,08:43 PM,20,25,25,23,15,36,84,7.9,1018,27,8,80,10,Tioga
2009-07-12,23,15,0.0,14.5,6,67,11:13 PM,10:53 AM,05:48 AM,08:43 PM,16,20,20,20,12,21,78,0.0,1019,23,10,95,7,Tioga
2009-07-13,27,15,0.0,14.5,6,61,11:35 PM,11:56 AM,05:48 AM,08:42 PM,18,22,22,21,11,14,81,0.0,1017,27,10,101,7,Tioga
2009-07-14,25,19,0.0,13.5,6,54,11:59 PM,01:00 PM,05:49 AM,08:42 PM,18,23,23,22,27,34,81,0.0,1014,25,10,145,17,Tioga
2009-07-15,26,21,0.0,14.5,5,47,No moonrise,02:08 PM,05:50 AM,08:41 PM,19,25,25,24,20,36,78,1.8,1014,26,9,255,13,Tioga
2009-07-16,26,17,0.0,14.5,6,40,12:27 AM,03:19 PM,05:51 AM,08:40 PM,15,22,22,21,20,6,66,0.0,1016,26,10,292,12,Tioga
2009-07-17,21,13,0.0,14.5,5,33,01:02 AM,04:31 PM,05:52 AM,08:40 PM,10,16,16,16,28,27,65,0.0,1016,21,10,311,19,Tioga
2009-07-18,21,12,0.0,12.4,4,27,01:46 AM,05:44 PM,05:52 AM,08:39 PM,12,16,16,16,14,44,76,0.0,1019,21,10,328,9,Tioga
2009-07-19,22,10,0.0,14.5,5,20,02:42 AM,06:49 PM,05:53 AM,08:38 PM,12,16,17,16,9,11,77,0.0,1020,22,9,229,5,Tioga
2009-07-20,24,11,0.0,14.5,6,13,03:51 AM,07:45 PM,05:54 AM,08:38 PM,14,17,18,17,19,7,78,0.0,1017,24,10,135,11,Tioga
2009-07-21,22,16,0.0,11.4,4,6,05:08 AM,08:29 PM,05:55 AM,08:37 PM,17,19,19,19,12,57,91,18.4,1014,22,9,94,7,Tioga
2009-07-22,24,14,0.0,12.4,5,0,06:29 AM,09:06 PM,05:56 AM,08:36 PM,16,19,20,19,11,53,86,0.4,1014,24,6,233,8,Tioga
2009-07-23,26,14,0.0,14.5,5,7,07:50 AM,09:37 PM,05:57 AM,08:35 PM,18,21,21,20,6,23,85,7.9,1014,26,9,213,3,Tioga
2009-07-24,30,15,0.0,14.5,7,14,09:07 AM,10:03 PM,05:58 AM,08:34 PM,19,24,24,23,19,3,80,0.1,1010,30,9,212,12,Tioga
2009-07-25,26,17,0.0,14.5,6,21,10:21 AM,10:28 PM,05:59 AM,08:33 PM,15,23,23,22,24,10,68,0.1,1010,26,10,310,16,Tioga
2009-07-26,26,16,0.0,14.5,6,27,11:33 AM,10:54 PM,05:59 AM,08:32 PM,16,22,22,21,18,12,72,0.0,1013,26,10,300,11,Tioga
2009-07-27,29,16,0.0,14.3,6,34,12:42 PM,11:20 PM,06:00 AM,08:31 PM,17,24,24,23,19,10,74,0.3,1012,29,10,239,11,Tioga
2009-07-28,27,18,0.0,11.6,5,41,01:51 PM,11:50 PM,06:01 AM,08:30 PM,17,24,24,23,15,27,70,0.4,1010,27,10,329,9,Tioga
2009-07-29,26,14,0.0,11.6,6,48,02:57 PM,No moonset,06:02 AM,08:29 PM,12,20,20,20,14,11,64,0.0,1012,26,10,239,7,Tioga
2009-07-30,24,16,0.0,11.6,5,55,04:00 PM,12:23 AM,06:03 AM,08:28 PM,15,20,20,20,18,28,74,1.7,1011,24,10,263,11,Tioga
2009-07-31,25,13,0.0,11.6,6,61,04:59 PM,01:03 AM,06:04 AM,08:27 PM,12,19,20,19,17,6,66,0.0,1015,25,10,252,10,Tioga
2009-08-01,24,15,0.0,10.5,5,68,05:51 PM,01:49 AM,06:05 AM,08:26 PM,15,20,20,20,21,20,74,4.8,1013,24,10,267,13,Tioga
2009-08-02,27,12,0.0,11.6,6,75,06:35 PM,02:41 AM,06:06 AM,08:25 PM,13,20,20,20,21,4,65,0.0,1013,27,10,227,13,Tioga
2009-08-03,29,20,0.0,11.6,7,82,07:13 PM,03:39 AM,06:07 AM,08:24 PM,16,26,26,24,23,4,62,0.3,1009,29,10,224,14,Tioga
2009-08-04,30,19,0.0,11.6,7,88,07:45 PM,04:40 AM,06:08 AM,08:23 PM,19,25,25,24,12,7,74,0.2,1012,30,10,184,8,Tioga
2009-08-05,26,15,0.0,11.6,6,95,08:11 PM,05:42 AM,06:09 AM,08:21 PM,14,21,21,20,13,7,68,0.0,1019,26,10,112,7,Tioga
2009-08-06,27,12,0.0,11.6,6,98,08:35 PM,06:43 AM,06:10 AM,08:20 PM,15,21,21,20,11,7,71,0.0,1019,27,10,138,6,Tioga
2009-08-07,27,19,0.0,10.5,5,91,08:57 PM,07:45 AM,06:11 AM,08:19 PM,18,23,23,22,28,40,77,44.9,1014,27,9,159,17,Tioga
2009-08-08,33,25,0.0,11.6,6,84,09:19 PM,08:46 AM,06:12 AM,08:18 PM,21,32,32,29,29,15,65,0.7,1010,33,10,193,18,Tioga
2009-08-09,30,25,0.0,11.6,6,78,09:40 PM,09:49 AM,06:13 AM,08:16 PM,21,30,30,28,25,12,68,3.0,1013,30,10,199,15,Tioga
2009-08-10,30,22,0.0,11.6,6,71,10:03 PM,10:52 AM,06:14 AM,08:15 PM,21,28,28,25,17,19,78,2.4,1015,30,9,274,11,Tioga
2009-08-11,28,18,0.0,11.6,6,64,10:30 PM,11:58 AM,06:15 AM,08:14 PM,18,23,23,22,15,8,76,0.0,1017,28,10,294,9,Tioga
2009-08-12,30,15,0.0,11.6,7,57,11:01 PM,01:06 PM,06:16 AM,08:12 PM,17,24,24,23,12,21,72,0.0,1018,30,10,153,8,Tioga
2009-08-13,30,20,0.0,11.6,6,51,11:40 PM,02:16 PM,06:17 AM,08:11 PM,18,26,26,24,20,23,69,2.4,1017,30,10,163,12,Tioga
2009-08-14,31,20,0.0,11.6,7,44,No moonrise,03:27 PM,06:18 AM,08:10 PM,18,26,26,25,19,7,65,0.0,1017,31,10,169,12,Tioga
2009-08-15,30,18,0.0,11.6,7,37,12:29 AM,04:32 PM,06:19 AM,08:08 PM,17,25,25,24,23,23,65,0.9,1014,30,10,168,14,Tioga
2009-08-16,25,21,0.0,8.1,5,30,01:30 AM,05:31 PM,06:20 AM,08:07 PM,21,24,24,23,24,69,91,30.7,1012,25,8,205,14,Tioga
2009-08-17,24,19,0.0,9.3,5,24,02:42 AM,06:20 PM,06:21 AM,08:05 PM,20,23,23,21,9,56,93,16.4,1015,24,7,253,6,Tioga
