date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,29,20,0.0,13.1,6,11,07:28 AM,08:53 PM,05:36 AM,06:49 PM,20,25,25,24,8,25,83,5.5,1013,29,9,132,5,Ulster
2009-06-25,25,21,0.0,13.1,5,18,08:33 AM,09:40 PM,05:36 AM,06:50 PM,22,25,25,23,14,46,93,11.7,1014,25,9,98,9,Ulster
2009-06-26,25,21,0.0,10.7,5,24,09:36 AM,10:22 PM,05:36 AM,06:50 PM,21,25,25,23,15,65,92,12.2,1014,25,6,93,10,Ulster
2009-06-27,26,22,0.0,12.0,5,31,10:34 AM,11:02 PM,05:37 AM,06:50 PM,21,26,26,23,18,56,89,4.2,1014,26,8,97,12,Ulster
2009-06-28,26,22,0.0,12.0,5,38,11:30 AM,11:40 PM,05:37 AM,06:50 PM,21,26,26,24,16,49,86,4.0,1014,26,10,104,11,Ulster
2009-06-29,25,22,0.0,13.1,5,45,12:24 PM,No moonset,05:37 AM,06:50 PM,21,25,25,23,17,42,91,21.2,1013,25,8,104,11,Ulster
2009-06-30,28,21,0.0,13.1,6,51,01:18 PM,12:17 AM,05:38 AM,06:50 PM,20,26,26,24,15,22,80,1.8,1012,28,10,105,10,Ulster
2009-07-01,26,22,0.0,13.1,5,58,02:12 PM,12:56 AM,05:38 AM,06:50 PM,21,26,26,23,14,29,87,9.4,1013,26,10,95,9,Ulster
2009-07-02,29,23,0.0,13.1,7,65,03:06 PM,01:38 AM,05:38 AM,06:50 PM,21,27,27,25,15,15,78,0.0,1015,29,10,86,11,Ulster
2009-07-03,28,23,0.0,13.1,6,72,04:01 PM,02:22 AM,05:39 AM,06:50 PM,22,27,27,25,14,37,83,5.1,1016,28,10,84,10,Ulster
2009-07-04,26,22,0.0,13.1,5,78,04:54 PM,03:09 AM,05:39 AM,06:50 PM,22,27,27,24,10,30,88,15.5,1015,26,9,95,6,Ulster
2009-07-05,27,21,0.0,13.1,6,85,05:45 PM,04:00 AM,05:39 AM,06:50 PM,21,26,26,24,13,13,82,2.6,1015,27,10,87,9,Ulster
2009-07-06,27,22,0.0,12.0,6,92,06:32 PM,04:52 AM,05:40 AM,06:50 PM,21,26,26,24,14,37,85,7.4,1014,27,8,76,10,Ulster
2009-07-07,27,22,0.0,13.1,5,99,07:16 PM,05:44 AM,05:40 AM,06:50 PM,21,26,26,24,18,45,86,1.4,1013,27,9,90,12,Ulster
2009-07-08,30,23,0.0,13.1,7,94,07:56 PM,06:36 AM,05:40 AM,06:50 PM,21,28,28,26,18,31,75,0.0,1013,30,10,91,13,Ulster
