date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,33,17,0.0,13.5,7,11,06:55 AM,10:02 PM,04:56 AM,08:13 PM,20,29,29,26,5,19,72,0.0,1012,33,10,177,3,Warren
2009-06-25,33,21,0.0,13.5,6,18,08:16 AM,10:33 PM,04:56 AM,08:13 PM,21,28,28,25,14,30,78,3.1,1009,33,10,243,8,Warren
2009-06-26,27,17,0.0,14.5,6,24,09:35 AM,11:00 PM,04:56 AM,08:13 PM,17,23,23,22,18,21,76,1.5,1009,27,9,211,12,Warren
2009-06-27,30,14,0.0,14.5,6,31,10:49 AM,11:25 PM,04:57 AM,08:13 PM,15,22,22,21,11,11,68,0.0,1012,30,10,106,7,Warren
2009-06-28,27,17,0.0,13.5,5,38,12:00 PM,11:48 PM,04:57 AM,08:13 PM,15,21,21,21,25,31,71,1.4,1004,27,9,244,16,Warren
2009-06-29,23,15,0.0,14.5,5,45,01:10 PM,No moonset,04:58 AM,08:13 PM,14,19,20,19,26,30,75,3.2,999,23,10,264,17,Warren
2009-06-30,18,15,0.0,9.7,4,51,02:17 PM,12:11 AM,04:58 AM,08:13 PM,14,16,16,16,23,84,87,0.4,1000,18,8,290,15,Warren
2009-07-01,21,13,0.0,9.7,4,58,03:25 PM,12:37 AM,04:59 AM,08:13 PM,14,16,16,16,10,87,89,5.8,1006,21,7,322,7,Warren
2009-07-02,21,14,0.0,9.7,4,65,04:30 PM,01:06 AM,04:59 AM,08:13 PM,14,16,16,16,16,95,89,3.3,1011,21,8,302,12,Warren
2009-07-03,23,14,0.0,11.5,5,72,05:33 PM,01:41 AM,05:00 AM,08:13 PM,15,18,19,18,21,66,79,0.1,1016,23,10,308,14,Warren
2009-07-04,23,13,0.0,14.5,5,78,06:29 PM,02:21 AM,05:00 AM,08:12 PM,13,18,19,18,13,25,76,1.0,1016,23,10,291,8,Warren
2009-07-05,26,14,0.0,14.5,6,85,07:20 PM,03:09 AM,05:01 AM,08:12 PM,16,21,21,20,9,20,77,1.2,1012,26,9,276,6,Warren
2009-07-06,25,15,0.0,14.5,6,92,08:02 PM,04:04 AM,05:02 AM,08:12 PM,14,21,21,20,20,16,71,0.5,1010,25,8,303,12,Warren
2009-07-07,21,13,0.0,14.5,5,99,08:37 PM,05:03 AM,05:02 AM,08:11 PM,12,17,17,17,17,17,73,0.0,1011,21,9,283,12,Warren
2009-07-08,24,11,0.0,14.5,5,94,09:06 PM,06:05 AM,05:03 AM,08:11 PM,13,17,18,17,12,28,77,0.0,1015,24,9,150,7,Warren
