date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,24,17,0.0,9.4,5,11,06:23 AM,09:22 PM,04:26 AM,07:33 PM,19,20,21,20,11,76,94,11.1,1009,24,7,154,7,Wayne
2009-06-25,30,14,0.0,13.5,6,18,07:43 AM,09:55 PM,04:26 AM,07:33 PM,19,23,23,22,7,48,85,2.4,1009,30,6,208,5,Wayne
2009-06-26,28,19,0.0,14.5,6,24,09:00 AM,10:23 PM,04:27 AM,07:33 PM,21,25,25,23,9,27,88,5.5,1006,28,9,244,6,Wayne
2009-06-27,25,15,0.0,13.5,5,31,10:13 AM,10:49 PM,04:27 AM,07:33 PM,17,21,21,21,14,27,84,6.9,1007,25,8,327,9,Wayne
2009-06-28,27,15,0.0,11.4,5,38,11:23 AM,11:13 PM,04:27 AM,07:33 PM,17,20,21,20,13,50,87,6.2,1004,27,8,220,7,Wayne
2009-06-29,28,17,0.0,14.5,5,45,12:31 PM,11:38 PM,04:28 AM,07:33 PM,17,22,22,21,13,22,78,1.1,999,28,10,278,8,Wayne
2009-06-30,27,16,0.0,14.5,5,51,01:38 PM,No moonset,04:28 AM,07:33 PM,17,21,21,21,13,28,82,4.6,1001,27,9,159,8,Wayne
2009-07-01,25,17,0.0,14.5,5,58,02:44 PM,12:05 AM,04:29 AM,07:33 PM,19,22,22,21,8,39,90,8.5,1006,25,7,126,5,Wayne
2009-07-02,24,17,0.0,10.4,5,65,03:49 PM,12:35 AM,04:29 AM,07:33 PM,20,22,22,21,12,69,95,22.9,1008,24,7,151,7,Wayne
2009-07-03,26,17,0.0,13.5,5,72,04:50 PM,01:10 AM,04:30 AM,07:33 PM,18,20,21,20,15,36,90,15.1,1010,26,7,296,9,Wayne
2009-07-04,26,15,0.0,13.5,5,78,05:47 PM,01:51 AM,04:30 AM,07:33 PM,15,20,20,20,21,28,74,0.6,1011,26,9,298,13,Wayne
2009-07-05,27,12,0.0,14.5,6,85,06:37 PM,02:39 AM,04:31 AM,07:32 PM,13,20,20,19,13,10,69,0.0,1012,27,10,269,9,Wayne
2009-07-06,30,14,0.0,14.5,7,92,07:20 PM,03:34 AM,04:32 AM,07:32 PM,16,22,22,22,8,12,72,0.0,1008,30,9,202,5,Wayne
2009-07-07,26,16,0.0,13.5,5,99,07:56 PM,04:32 AM,04:32 AM,07:32 PM,17,20,20,20,12,41,82,3.3,1007,26,10,141,7,Wayne
2009-07-08,24,14,0.0,14.5,6,94,08:26 PM,05:33 AM,04:33 AM,07:31 PM,14,19,20,19,14,19,73,0.3,1012,24,9,332,9,Wayne
