date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,27,27,0.0,13.8,6,11,07:26 AM,09:17 PM,05:32 AM,07:16 PM,25,31,31,27,18,40,86,10.6,1009,27,9,266,12,Westchester
2009-06-25,30,26,0.0,13.9,6,18,08:35 AM,10:00 PM,05:32 AM,07:17 PM,24,32,32,28,17,21,78,5.6,1013,30,9,226,13,Westchester
2009-06-26,31,26,0.0,13.3,6,24,09:41 AM,10:38 PM,05:32 AM,07:17 PM,24,32,32,28,16,32,77,3.6,1015,31,10,209,11,Westchester
2009-06-27,31,26,0.0,13.8,6,31,10:43 AM,11:13 PM,05:33 AM,07:17 PM,24,33,33,29,14,23,76,3.9,1015,31,9,178,10,Westchester
2009-06-28,31,26,0.0,13.8,6,38,11:44 AM,11:47 PM,05:33 AM,07:17 PM,24,32,32,28,13,40,77,7.1,1014,31,9,223,9,Westchester
2009-06-29,30,26,0.0,12.2,6,45,12:41 PM,No moonset,05:33 AM,07:17 PM,24,32,32,28,19,58,80,4.8,1012,30,10,240,13,Westchester
2009-06-30,30,27,0.0,13.3,6,51,01:39 PM,12:21 AM,05:34 AM,07:17 PM,24,33,33,28,24,51,81,13.8,1011,30,9,217,16,Westchester
2009-07-01,31,26,0.0,13.8,6,58,02:36 PM,12:57 AM,05:34 AM,07:17 PM,24,34,34,29,17,31,78,7.6,1013,31,9,210,12,Westchester
2009-07-02,30,26,0.0,13.3,6,65,03:34 PM,01:36 AM,05:34 AM,07:17 PM,25,34,34,29,11,31,80,8.7,1017,30,10,177,9,Westchester
2009-07-03,33,26,0.0,13.8,7,72,04:29 PM,02:17 AM,05:35 AM,07:17 PM,25,35,35,30,6,18,77,5.5,1018,33,9,177,5,Westchester
2009-07-04,32,27,0.0,13.8,7,78,05:24 PM,03:03 AM,05:35 AM,07:17 PM,25,35,35,30,7,11,75,1.1,1017,32,10,212,6,Westchester
2009-07-05,32,28,0.0,13.8,7,85,06:14 PM,03:53 AM,05:35 AM,07:17 PM,25,35,35,30,11,12,75,3.5,1016,32,10,193,8,Westchester
2009-07-06,32,27,0.0,13.8,7,92,07:01 PM,04:45 AM,05:36 AM,07:17 PM,25,35,35,30,12,14,74,3.4,1015,32,10,216,9,Westchester
2009-07-07,33,28,0.0,13.8,8,99,07:43 PM,05:40 AM,05:36 AM,07:17 PM,24,36,36,31,14,8,70,0.1,1014,33,10,232,11,Westchester
2009-07-08,33,28,0.0,13.8,8,94,08:20 PM,06:34 AM,05:37 AM,07:17 PM,24,36,36,30,9,11,71,0.8,1015,33,10,235,8,Westchester
