date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,31,19,0.0,14.5,7,11,08:05 AM,11:14 PM,06:05 AM,09:26 PM,21,28,28,25,12,5,77,0.0,1011,31,10,254,7,Wyoming
2009-06-25,30,22,0.0,14.5,6,18,09:27 AM,11:45 PM,06:05 AM,09:26 PM,20,28,28,25,15,24,72,1.1,1009,30,10,279,9,Wyoming
2009-06-26,27,20,0.0,14.5,7,24,10:45 AM,No moonset,06:06 AM,09:26 PM,18,24,24,23,14,13,74,0.0,1010,27,9,214,9,Wyoming
2009-06-27,27,17,0.0,14.5,6,31,12:00 PM,12:11 AM,06:06 AM,09:26 PM,18,23,23,22,16,29,79,2.4,1011,27,8,135,10,Wyoming
2009-06-28,23,17,0.0,14.5,5,38,01:12 PM,12:35 AM,06:06 AM,09:26 PM,15,20,21,20,27,18,74,10.7,1005,23,9,266,18,Wyoming
2009-06-29,19,15,0.0,11.5,4,45,02:21 PM,12:58 AM,06:07 AM,09:26 PM,13,17,17,17,27,46,79,3.0,1000,19,10,270,17,Wyoming
2009-06-30,18,13,0.0,9.5,4,51,03:30 PM,01:22 AM,06:07 AM,09:26 PM,13,15,15,15,18,92,85,2.1,1002,18,8,297,13,Wyoming
2009-07-01,14,12,0.0,9.5,3,58,04:37 PM,01:47 AM,06:08 AM,09:26 PM,13,13,13,13,9,92,96,15.7,1007,14,6,278,6,Wyoming
2009-07-02,18,13,0.0,10.5,4,65,05:43 PM,02:15 AM,06:08 AM,09:25 PM,13,15,15,15,15,86,88,0.9,1012,18,6,301,11,Wyoming
2009-07-03,22,13,0.0,14.5,5,72,06:45 PM,02:50 AM,06:09 AM,09:25 PM,14,17,18,17,14,38,82,0.0,1017,22,8,305,9,Wyoming
2009-07-04,23,11,0.0,13.5,5,78,07:43 PM,03:31 AM,06:09 AM,09:25 PM,13,17,18,17,7,36,79,0.1,1016,23,10,211,4,Wyoming
2009-07-05,25,12,0.0,14.5,5,85,08:32 PM,04:18 AM,06:10 AM,09:25 PM,15,20,20,19,11,14,75,0.2,1013,25,9,220,7,Wyoming
2009-07-06,24,15,0.0,14.5,6,92,09:15 PM,05:13 AM,06:11 AM,09:24 PM,13,19,20,19,17,12,69,0.0,1010,24,10,283,11,Wyoming
2009-07-07,22,12,0.0,14.5,5,99,09:49 PM,06:12 AM,06:11 AM,09:24 PM,11,17,18,17,17,8,70,0.0,1012,22,10,210,12,Wyoming
2009-07-08,25,11,0.0,14.5,5,94,10:18 PM,07:15 AM,06:12 AM,09:24 PM,13,17,18,17,10,9,78,0.1,1016,25,10,105,6,Wyoming
2009-07-09,26,14,0.0,14.5,6,88,10:43 PM,08:17 AM,06:13 AM,09:23 PM,15,21,21,20,16,11,74,0.1,1019,26,10,116,10,Wyoming
2009-07-10,27,17,0.0,14.5,6,81,11:05 PM,09:20 AM,06:14 AM,09:23 PM,16,22,22,22,18,20,73,0.0,1018,27,10,173,11,Wyoming
2009-07-11,25,16,0.0,14.5,5,74,11:25 PM,10:22 AM,06:14 AM,09:22 PM,16,22,22,21,20,23,75,3.6,1016,25,10,280,13,Wyoming
2009-07-12,23,14,0.0,14.5,6,67,11:45 PM,11:25 AM,06:15 AM,09:22 PM,12,19,20,19,14,4,68,0.0,1017,23,10,293,10,Wyoming
2009-07-13,24,10,0.0,14.5,6,61,No moonrise,12:28 PM,06:16 AM,09:21 PM,10,18,18,18,12,4,64,0.0,1017,24,10,273,9,Wyoming
2009-07-14,25,10,0.0,14.5,6,54,12:06 AM,01:35 PM,06:17 AM,09:20 PM,11,18,19,18,12,12,65,0.0,1020,25,10,139,8,Wyoming
2009-07-15,27,17,0.0,12.5,5,47,12:29 AM,02:43 PM,06:18 AM,09:20 PM,15,20,21,20,24,33,71,4.9,1012,27,10,203,14,Wyoming
2009-07-16,23,17,0.0,14.5,6,40,12:56 AM,03:55 PM,06:18 AM,09:19 PM,14,19,20,19,21,12,72,0.2,1011,23,10,261,14,Wyoming
