date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,30,23,0.0,13.1,6,11,07:27 AM,08:51 PM,05:36 AM,06:47 PM,23,30,30,26,10,20,83,3.2,1013,30,10,131,6,Yates
2009-06-25,27,25,0.0,13.1,6,18,08:33 AM,09:38 PM,05:36 AM,06:47 PM,24,29,29,26,17,46,92,21.5,1014,27,8,96,11,Yates
2009-06-26,27,25,0.0,10.7,6,24,09:35 AM,10:21 PM,05:36 AM,06:48 PM,24,29,29,26,19,54,92,21.4,1014,27,9,90,12,Yates
2009-06-27,28,25,0.0,12.0,6,31,10:33 AM,11:00 PM,05:37 AM,06:48 PM,24,30,30,26,24,54,89,14.0,1014,28,9,96,15,Yates
2009-06-28,29,25,0.0,12.0,6,38,11:29 AM,11:39 PM,05:37 AM,06:48 PM,24,30,30,26,20,47,86,7.8,1014,29,9,102,14,Yates
2009-06-29,26,24,0.0,13.1,6,45,12:22 PM,No moonset,05:37 AM,06:48 PM,24,28,28,25,21,37,90,20.6,1013,26,9,103,13,Yates
2009-06-30,29,25,0.0,13.1,6,51,01:16 PM,12:16 AM,05:37 AM,06:48 PM,23,29,29,26,18,21,81,1.8,1012,29,10,102,13,Yates
2009-07-01,26,25,0.0,13.1,6,58,02:10 PM,12:56 AM,05:38 AM,06:48 PM,23,29,29,26,18,32,88,7.9,1013,26,10,92,12,Yates
2009-07-02,30,26,0.0,13.1,7,65,03:04 PM,01:38 AM,05:38 AM,06:48 PM,23,30,30,27,19,13,80,0.0,1015,30,10,83,13,Yates
2009-07-03,29,26,0.0,13.1,6,72,03:58 PM,02:21 AM,05:38 AM,06:48 PM,24,31,31,27,17,33,84,3.1,1016,29,10,81,12,Yates
2009-07-04,28,25,0.0,13.1,6,78,04:51 PM,03:09 AM,05:39 AM,06:48 PM,24,30,30,26,12,24,87,12.9,1015,28,9,90,8,Yates
2009-07-05,29,25,0.0,13.1,6,85,05:43 PM,04:00 AM,05:39 AM,06:48 PM,23,30,30,27,16,13,82,2.8,1015,29,10,81,11,Yates
2009-07-06,29,24,0.0,12.0,6,92,06:30 PM,04:51 AM,05:39 AM,06:48 PM,23,29,29,26,18,39,85,9.5,1014,29,9,75,12,Yates
2009-07-07,28,25,0.0,13.1,6,99,07:14 PM,05:44 AM,05:40 AM,06:48 PM,24,29,29,26,23,44,87,9.9,1014,28,9,90,15,Yates
2009-07-08,30,25,0.0,13.1,6,94,07:54 PM,06:36 AM,05:40 AM,06:48 PM,23,30,30,27,21,29,78,0.0,1013,30,10,88,15,Yates
2009-07-09,29,25,0.0,13.1,6,88,08:31 PM,07:27 AM,05:40 AM,06:48 PM,23,30,30,27,17,9,80,3.7,1015,29,10,84,12,Yates
2009-07-10,28,25,0.0,13.1,6,81,09:07 PM,08:16 AM,05:41 AM,06:48 PM,23,29,29,26,17,21,83,2.8,1016,28,10,77,12,Yates
2009-07-11,29,25,0.0,13.1,7,74,09:41 PM,09:05 AM,05:41 AM,06:48 PM,23,29,29,26,16,18,80,0.5,1016,29,10,81,11,Yates
2009-07-12,30,25,0.0,13.1,6,67,10:14 PM,09:53 AM,05:41 AM,06:48 PM,23,30,30,27,17,13,80,5.3,1016,30,9,79,12,Yates
2009-07-13,30,24,0.0,13.1,6,61,10:49 PM,10:42 AM,05:42 AM,06:48 PM,23,30,30,27,9,23,84,16.0,1014,30,9,75,6,Yates
2009-07-14,29,24,0.0,13.1,6,54,11:27 PM,11:33 AM,05:42 AM,06:48 PM,23,29,29,26,19,31,84,0.6,1015,29,9,85,13,Yates
2009-07-15,30,25,0.0,13.1,7,47,No moonrise,12:27 PM,05:42 AM,06:48 PM,23,30,30,27,21,7,76,0.0,1016,30,10,77,15,Yates
2009-07-16,30,26,0.0,13.0,6,40,12:07 AM,01:25 PM,05:43 AM,06:47 PM,23,31,31,27,15,20,78,0.1,1015,30,10,79,11,Yates
2009-07-17,30,25,0.0,13.0,7,33,12:54 AM,02:26 PM,05:43 AM,06:47 PM,23,30,30,27,14,4,77,0.1,1015,30,10,79,10,Yates
2009-07-18,31,25,0.0,13.0,6,27,01:48 AM,03:32 PM,05:43 AM,06:47 PM,23,30,30,27,15,10,79,2.5,1016,31,10,76,11,Yates
2009-07-19,30,25,0.0,13.0,6,20,02:48 AM,04:36 PM,05:44 AM,06:47 PM,24,31,31,27,10,16,82,6.3,1015,30,9,57,7,Yates
2009-07-20,28,25,0.0,13.0,6,13,03:55 AM,05:39 PM,05:44 AM,06:47 PM,24,30,30,26,15,30,89,5.9,1013,28,10,72,10,Yates
2009-07-21,27,25,0.0,13.0,6,6,05:04 AM,06:36 PM,05:44 AM,06:46 PM,24,29,29,25,14,39,91,24.5,1013,27,7,81,9,Yates
2009-07-22,27,24,0.0,10.7,6,0,06:11 AM,07:27 PM,05:45 AM,06:46 PM,24,28,28,25,16,54,93,29.7,1014,27,6,93,10,Yates
2009-07-23,27,24,0.0,13.0,6,7,07:17 AM,08:13 PM,05:45 AM,06:46 PM,24,29,29,26,22,42,90,19.2,1014,27,8,91,14,Yates
2009-07-24,28,25,0.0,13.0,6,14,08:18 AM,08:55 PM,05:45 AM,06:46 PM,23,29,29,26,19,15,84,2.5,1014,28,10,88,13,Yates
2009-07-25,28,25,0.0,13.0,7,21,09:17 AM,09:35 PM,05:46 AM,06:45 PM,23,29,29,26,19,15,82,0.0,1014,28,10,83,13,Yates
2009-07-26,29,25,0.0,13.0,7,27,10:13 AM,10:14 PM,05:46 AM,06:45 PM,23,30,30,27,14,12,82,0.1,1015,29,10,74,9,Yates
2009-07-27,29,25,0.0,13.0,6,34,11:09 AM,10:54 PM,05:46 AM,06:45 PM,23,29,29,26,16,37,82,2.6,1015,29,10,83,11,Yates
2009-07-28,27,24,0.0,10.7,6,41,12:04 PM,11:36 PM,05:47 AM,06:44 PM,23,29,29,26,25,71,88,18.7,1014,27,8,79,17,Yates
2009-07-29,28,25,0.0,13.0,6,48,12:59 PM,No moonset,05:47 AM,06:44 PM,22,29,29,26,26,29,81,3.6,1014,28,10,80,19,Yates
2009-07-30,28,25,0.0,13.0,7,55,01:53 PM,12:19 AM,05:47 AM,06:43 PM,22,29,29,26,14,6,78,0.3,1014,28,10,63,10,Yates
2009-07-31,26,23,0.0,11.9,6,61,02:47 PM,01:06 AM,05:48 AM,06:43 PM,23,28,28,25,18,49,86,17.2,1015,26,9,66,12,Yates
2009-08-01,26,22,0.0,11.9,5,68,03:39 PM,01:56 AM,05:48 AM,06:42 PM,23,27,27,25,15,44,90,21.7,1015,26,8,77,10,Yates
2009-08-02,26,23,0.0,12.9,5,75,04:27 PM,02:47 AM,05:48 AM,06:42 PM,23,27,27,25,16,39,90,10.2,1014,26,8,68,11,Yates
2009-08-03,28,24,0.0,12.9,7,82,05:13 PM,03:40 AM,05:48 AM,06:42 PM,22,28,28,26,14,18,82,0.1,1014,28,10,74,10,Yates
2009-08-04,27,23,0.0,12.9,6,88,05:54 PM,04:31 AM,05:49 AM,06:41 PM,23,28,28,25,16,29,87,7.3,1013,27,8,75,11,Yates
2009-08-05,25,24,0.0,12.9,5,95,06:32 PM,05:23 AM,05:49 AM,06:41 PM,23,28,28,25,18,44,89,14.3,1013,25,9,74,13,Yates
2009-08-06,28,24,0.0,12.9,6,98,07:08 PM,06:13 AM,05:49 AM,06:40 PM,23,28,28,26,17,20,86,5.9,1013,28,9,76,12,Yates
2009-08-07,27,24,0.0,12.9,6,91,07:43 PM,07:02 AM,05:50 AM,06:40 PM,23,28,28,25,19,29,88,13.6,1015,27,9,82,12,Yates
2009-08-08,29,25,0.0,12.9,7,84,08:16 PM,07:50 AM,05:50 AM,06:39 PM,23,29,29,26,18,8,81,0.2,1016,29,10,83,12,Yates
2009-08-09,28,24,0.0,12.9,6,78,08:51 PM,08:39 AM,05:50 AM,06:38 PM,23,29,29,26,13,18,84,5.7,1016,28,9,66,9,Yates
2009-08-10,28,24,0.0,12.9,6,71,09:27 PM,09:29 AM,05:50 AM,06:38 PM,24,29,29,26,12,30,88,13.5,1015,28,8,56,8,Yates
2009-08-11,28,25,0.0,12.9,6,64,10:06 PM,10:21 AM,05:51 AM,06:37 PM,24,30,30,26,12,35,89,12.9,1014,28,7,66,8,Yates
2009-08-12,28,24,0.0,12.9,6,57,10:49 PM,11:17 AM,05:51 AM,06:37 PM,24,29,29,26,11,28,90,16.3,1014,28,9,100,7,Yates
2009-08-13,29,25,0.0,12.9,6,51,11:38 PM,12:15 PM,05:51 AM,06:36 PM,24,30,30,26,11,20,87,3.6,1013,29,7,69,8,Yates
2009-08-14,26,23,0.0,10.6,6,44,No moonrise,01:17 PM,05:51 AM,06:35 PM,24,28,28,25,16,62,94,39.5,1014,26,6,82,10,Yates
2009-08-15,28,25,0.0,12.8,6,37,12:34 AM,02:20 PM,05:52 AM,06:35 PM,24,29,29,26,18,30,90,8.2,1013,28,9,84,12,Yates
2009-08-16,28,24,0.0,12.8,6,30,01:36 AM,03:22 PM,05:52 AM,06:34 PM,24,29,29,26,12,33,90,15.5,1013,28,8,59,8,Yates
2009-08-17,28,24,0.0,12.8,6,24,02:42 AM,04:20 PM,05:52 AM,06:33 PM,24,29,29,26,11,29,90,10.4,1013,28,6,72,7,Yates
