date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,39,24,0.0,11.6,9,11,08:19 AM,10:38 PM,06:20 AM,08:40 PM,19,34,34,32,10,14,48,0.0,1011,39,10,112,6,lewis
2009-06-25,39,25,0.0,11.6,8,18,09:34 AM,11:17 PM,06:21 AM,08:40 PM,16,33,33,32,12,2,42,0.0,1011,39,10,87,7,lewis
2009-06-26,39,25,0.0,11.6,8,24,10:44 AM,11:51 PM,06:21 AM,08:40 PM,17,33,33,32,10,6,44,0.0,1010,39,10,140,6,lewis
2009-06-27,41,25,0.0,11.6,9,31,11:51 AM,No moonset,06:21 AM,08:41 PM,17,34,34,33,11,2,41,0.0,1010,41,10,157,7,lewis
2009-06-28,40,26,0.0,11.6,8,38,12:55 PM,12:21 AM,06:22 AM,08:41 PM,18,34,34,33,11,21,44,0.0,1011,40,10,156,7,lewis
2009-06-29,29,23,0.0,11.6,6,45,01:58 PM,12:51 AM,06:22 AM,08:41 PM,21,28,28,26,13,44,77,14.9,1010,29,8,46,9,lewis
2009-06-30,26,23,0.0,11.6,5,51,02:59 PM,01:21 AM,06:22 AM,08:41 PM,19,26,26,24,12,29,74,4.2,1010,26,9,199,7,lewis
2009-07-01,39,22,0.0,11.6,8,58,04:00 PM,01:53 AM,06:23 AM,08:41 PM,20,33,33,30,11,4,61,0.0,1010,39,9,207,6,lewis
2009-07-02,40,23,0.0,11.6,8,65,05:00 PM,02:28 AM,06:23 AM,08:40 PM,16,33,33,32,11,5,43,0.0,1013,40,10,180,6,lewis
2009-07-03,39,25,0.0,11.6,8,72,05:58 PM,03:08 AM,06:24 AM,08:40 PM,15,32,32,32,16,4,39,0.0,1015,39,10,172,10,lewis
2009-07-04,39,28,0.0,11.6,8,78,06:53 PM,03:52 AM,06:24 AM,08:40 PM,19,35,35,33,22,9,45,0.0,1012,39,10,189,15,lewis
2009-07-05,27,24,0.0,8.2,6,85,07:44 PM,04:41 AM,06:25 AM,08:40 PM,22,29,29,27,12,55,79,50.8,1012,27,8,203,7,lewis
2009-07-06,30,21,0.0,11.6,6,92,08:28 PM,05:35 AM,06:25 AM,08:40 PM,20,28,28,26,11,41,74,1.3,1012,30,9,145,8,lewis
2009-07-07,35,21,0.0,11.6,8,99,09:07 PM,06:31 AM,06:26 AM,08:40 PM,19,31,31,28,10,12,63,0.0,1010,35,10,64,6,lewis
2009-07-08,38,23,0.0,11.6,8,94,09:42 PM,07:28 AM,06:26 AM,08:40 PM,19,33,33,30,15,10,55,0.0,1009,38,10,139,9,lewis
2009-07-09,38,24,0.0,11.6,8,88,10:12 PM,08:25 AM,06:27 AM,08:39 PM,18,33,33,31,17,3,50,0.0,1012,38,10,151,11,lewis
2009-07-10,38,26,0.0,11.6,8,81,10:40 PM,09:22 AM,06:27 AM,08:39 PM,17,33,33,32,19,3,44,0.0,1015,38,10,174,12,lewis
2009-07-11,38,27,0.0,11.6,8,74,11:07 PM,10:17 AM,06:28 AM,08:39 PM,17,33,33,32,18,5,41,0.0,1017,38,10,186,11,lewis
2009-07-12,39,26,0.0,11.6,8,67,11:33 PM,11:13 AM,06:28 AM,08:38 PM,16,33,33,32,17,14,40,0.0,1017,39,10,206,11,lewis
2009-07-13,40,27,0.0,11.6,9,61,No moonrise,12:10 PM,06:29 AM,08:38 PM,16,34,34,33,18,4,38,0.0,1014,40,10,207,11,lewis
2009-07-14,40,28,0.0,11.6,8,54,12:00 AM,01:09 PM,06:29 AM,08:38 PM,15,33,33,33,22,0,34,0.0,1012,40,10,180,14,lewis
2009-07-15,39,27,0.0,11.6,8,47,12:30 AM,02:11 PM,06:30 AM,08:37 PM,15,33,33,32,17,0,38,0.0,1015,39,10,178,11,lewis
2009-07-16,39,26,0.0,11.6,8,40,01:04 AM,03:17 PM,06:31 AM,08:37 PM,17,34,34,32,12,9,41,0.1,1014,39,10,183,7,lewis
2009-07-17,35,24,0.0,11.6,8,33,01:44 AM,04:25 PM,06:31 AM,08:36 PM,17,31,31,29,10,10,49,0.3,1016,35,10,161,7,lewis
2009-07-18,35,22,0.0,11.6,7,27,02:32 AM,05:34 PM,06:32 AM,08:36 PM,14,29,29,28,13,23,44,2.4,1018,35,10,56,8,lewis
2009-07-19,38,24,0.0,11.6,8,20,03:31 AM,06:39 PM,06:33 AM,08:35 PM,18,31,31,30,10,21,53,0.8,1017,38,10,187,6,lewis
2009-07-20,28,23,0.0,10.5,6,13,04:38 AM,07:38 PM,06:33 AM,08:35 PM,21,27,27,25,17,27,77,8.5,1012,28,9,167,11,lewis
2009-07-21,36,24,0.0,11.6,7,6,05:52 AM,08:27 PM,06:34 AM,08:34 PM,19,31,31,29,17,12,59,1.2,1010,36,10,145,11,lewis
2009-07-22,32,22,0.0,11.6,7,0,07:08 AM,09:10 PM,06:34 AM,08:34 PM,16,28,28,27,15,8,54,0.0,1014,32,10,26,10,lewis
2009-07-23,35,22,0.0,11.6,7,7,08:21 AM,09:47 PM,06:35 AM,08:33 PM,14,28,28,27,11,17,45,0.0,1016,35,10,154,7,lewis
2009-07-24,35,21,0.0,11.6,7,14,09:33 AM,10:20 PM,06:36 AM,08:32 PM,15,29,29,27,13,30,51,0.0,1015,35,10,163,8,lewis
2009-07-25,39,23,0.0,11.6,8,21,10:40 AM,10:51 PM,06:36 AM,08:32 PM,14,31,31,31,17,22,37,0.0,1013,39,10,186,11,lewis
2009-07-26,35,23,0.0,11.6,7,27,11:45 AM,11:22 PM,06:37 AM,08:31 PM,17,30,30,29,15,33,50,11.9,1014,35,9,123,9,lewis
2009-07-27,27,23,0.0,8.1,6,34,12:49 PM,11:54 PM,06:38 AM,08:30 PM,22,27,27,25,17,59,85,39.7,1014,27,7,102,9,lewis
