date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,12,8,0.0,8.7,3,11,08:43 AM,07:17 PM,07:13 AM,05:17 PM,-2,6,10,6,61,22,42,0.5,1011,12,9,275,43,queens
2009-06-25,9,5,0.0,5.4,2,18,09:29 AM,08:29 PM,07:13 AM,05:17 PM,1,2,7,2,67,51,69,11.6,1013,9,9,273,44,queens
2009-06-26,9,5,0.0,5.4,2,24,10:07 AM,09:39 PM,07:13 AM,05:18 PM,2,2,6,2,42,55,74,1.5,1028,9,9,267,28,queens
2009-06-27,15,6,0.0,8.7,4,31,10:40 AM,10:44 PM,07:14 AM,05:18 PM,1,7,10,7,32,8,55,0.0,1027,15,10,275,19,queens
2009-06-28,9,8,0.0,3.8,2,38,11:12 AM,11:48 PM,07:14 AM,05:18 PM,5,6,8,6,27,73,83,12.2,1028,9,9,209,17,queens
2009-06-29,13,2,0.0,8.7,3,45,11:43 AM,No moonset,07:14 AM,05:19 PM,1,5,6,5,21,2,71,0.0,1033,13,9,210,11,queens
2009-06-30,19,5,0.0,8.7,4,51,12:13 PM,12:49 AM,07:14 AM,05:19 PM,-2,9,11,9,36,2,41,0.0,1029,19,10,325,19,queens
2009-07-01,20,9,0.0,8.7,4,58,12:46 PM,01:50 AM,07:14 AM,05:20 PM,1,11,13,11,34,0,47,0.0,1029,20,10,325,18,queens
2009-07-02,20,9,0.0,8.7,4,65,01:23 PM,02:50 AM,07:14 AM,05:20 PM,-1,12,13,12,43,2,39,0.0,1026,20,10,323,24,queens
2009-07-03,18,12,0.0,7.1,3,72,02:03 PM,03:49 AM,07:14 AM,05:20 PM,6,13,14,13,32,37,62,1.9,1029,18,9,228,19,queens
2009-07-04,17,11,0.0,8.7,3,78,02:49 PM,04:47 AM,07:14 AM,05:21 PM,10,12,13,12,21,49,85,2.8,1032,17,10,58,14,queens
2009-07-05,19,9,0.0,8.7,4,85,03:39 PM,05:41 AM,07:13 AM,05:21 PM,1,11,13,11,33,10,45,0.0,1027,19,10,322,18,queens
2009-07-06,18,10,0.0,8.7,4,92,04:32 PM,06:30 AM,07:13 AM,05:22 PM,3,11,13,11,31,6,53,0.0,1025,18,10,270,18,queens
2009-07-07,17,8,0.0,8.7,4,99,05:29 PM,07:15 AM,07:13 AM,05:22 PM,6,9,11,9,21,18,76,0.0,1029,17,9,216,12,queens
2009-07-08,22,10,0.0,8.7,5,94,06:25 PM,07:53 AM,07:13 AM,05:23 PM,-1,14,15,14,43,16,35,0.0,1024,22,10,313,23,queens
2009-07-09,22,13,0.0,8.7,5,88,07:22 PM,08:27 AM,07:13 AM,05:23 PM,2,15,17,15,43,5,37,0.0,1021,22,10,314,24,queens
2009-07-10,21,12,0.0,8.7,5,81,08:17 PM,08:58 AM,07:13 AM,05:24 PM,-0,14,16,14,35,0,34,0.0,1020,21,10,322,20,queens
2009-07-11,23,12,0.0,8.7,5,74,09:13 PM,09:27 AM,07:12 AM,05:24 PM,2,14,15,14,32,11,47,0.4,1016,23,9,286,19,queens
2009-07-12,18,9,0.0,8.7,3,67,10:08 PM,09:54 AM,07:12 AM,05:25 PM,6,13,13,13,22,30,66,8.3,1018,18,9,254,14,queens
2009-07-13,18,9,0.0,8.7,3,61,11:04 PM,10:20 AM,07:12 AM,05:25 PM,1,10,12,10,27,25,51,1.2,1015,18,9,290,16,queens
2009-07-14,7,6,0.0,5.4,2,54,No moonrise,10:49 AM,07:11 AM,05:26 PM,3,3,7,3,30,51,80,10.9,1023,7,9,251,20,queens
2009-07-15,11,3,0.0,8.7,3,47,12:03 AM,11:20 AM,07:11 AM,05:27 PM,1,5,7,5,23,11,66,0.1,1029,11,10,279,13,queens
2009-07-16,14,5,0.0,8.7,3,40,01:05 AM,11:55 AM,07:11 AM,05:27 PM,1,6,8,6,25,9,62,0.0,1034,14,10,264,14,queens
2009-07-17,18,5,0.0,8.7,4,33,02:10 AM,12:36 PM,07:10 AM,05:28 PM,0,9,10,9,20,1,54,0.0,1032,18,10,184,10,queens
2009-07-18,20,8,0.0,8.7,4,27,03:19 AM,01:27 PM,07:10 AM,05:28 PM,-3,11,12,11,25,0,39,0.0,1029,20,10,266,14,queens
2009-07-19,16,6,0.0,8.7,3,20,04:26 AM,02:27 PM,07:09 AM,05:29 PM,5,9,10,9,18,20,73,0.0,1032,16,10,150,11,queens
2009-07-20,22,8,0.0,8.7,4,13,05:31 AM,03:36 PM,07:09 AM,05:29 PM,-3,12,13,12,28,2,39,0.0,1028,22,10,323,15,queens
2009-07-21,22,11,0.0,8.7,5,6,06:28 AM,04:50 PM,07:08 AM,05:30 PM,0,13,15,13,32,2,38,0.0,1022,22,10,304,17,queens
2009-07-22,19,10,0.0,8.7,3,0,07:18 AM,06:05 PM,07:08 AM,05:31 PM,2,12,14,12,32,21,50,0.2,1017,19,9,265,20,queens
2009-07-23,7,5,0.0,3.8,2,7,08:00 AM,07:18 PM,07:07 AM,05:31 PM,4,2,6,2,39,82,86,20.4,1025,7,7,233,27,queens
2009-07-24,8,5,0.0,5.5,2,14,08:37 AM,08:27 PM,07:07 AM,05:32 PM,3,3,6,3,25,79,81,1.3,1034,8,8,255,18,queens
2009-07-25,14,3,0.0,8.7,3,21,09:10 AM,09:34 PM,07:06 AM,05:33 PM,-0,5,8,5,26,2,58,0.0,1033,14,10,276,15,queens
2009-07-26,15,7,0.0,8.7,3,27,09:42 AM,10:37 PM,07:05 AM,05:33 PM,2,8,10,8,20,14,62,0.0,1033,15,8,189,11,queens
2009-07-27,18,7,0.0,8.7,4,34,10:14 AM,11:40 PM,07:05 AM,05:34 PM,2,10,11,10,22,0,57,0.0,1031,18,10,239,11,queens
2009-07-28,22,9,0.0,8.7,5,41,10:47 AM,No moonset,07:04 AM,05:34 PM,-4,13,14,13,33,8,28,0.0,1023,22,10,321,18,queens
2009-07-29,20,12,0.0,8.7,4,48,11:23 AM,12:42 AM,07:03 AM,05:35 PM,0,14,15,14,31,28,37,0.0,1019,20,10,312,17,queens
2009-07-30,16,13,0.0,5.5,3,55,12:02 PM,01:43 AM,07:03 AM,05:36 PM,5,13,14,13,28,62,55,8.1,1018,16,8,315,15,queens
2009-07-31,19,12,0.0,7.1,3,61,12:46 PM,02:41 AM,07:02 AM,05:36 PM,10,13,14,13,19,51,78,39.3,1019,19,8,235,12,queens
2009-08-01,10,9,0.0,3.9,2,68,01:35 PM,03:37 AM,07:01 AM,05:37 PM,8,7,10,7,24,91,92,16.6,1024,10,8,228,16,queens
2009-08-02,12,9,0.0,3.9,3,75,02:27 PM,04:27 AM,07:00 AM,05:38 PM,8,9,10,9,18,73,90,3.7,1027,12,7,204,12,queens
2009-08-03,19,8,0.0,8.7,4,82,03:23 PM,05:13 AM,07:00 AM,05:38 PM,4,11,12,11,23,11,61,0.0,1023,19,10,290,12,queens
2009-08-04,23,11,0.0,8.7,5,88,04:19 PM,05:54 AM,06:59 AM,05:39 PM,5,15,16,15,42,2,48,0.0,1017,23,10,322,23,queens
2009-08-05,21,10,0.0,8.7,5,95,05:16 PM,06:29 AM,06:58 AM,05:40 PM,6,15,15,15,22,10,58,0.0,1019,21,9,244,13,queens
2009-08-06,16,8,0.0,5.6,3,98,06:12 PM,07:01 AM,06:57 AM,05:40 PM,8,11,11,11,11,68,82,0.5,1028,16,7,150,8,queens
2009-08-07,22,10,0.0,8.7,4,91,07:08 PM,07:30 AM,06:56 AM,05:41 PM,7,14,15,14,19,46,63,1.8,1026,22,8,128,11,queens
2009-08-08,23,14,0.0,8.7,4,84,08:03 PM,07:58 AM,06:55 AM,05:41 PM,7,17,17,17,27,34,53,1.9,1022,23,10,271,14,queens
2009-08-09,24,14,0.0,8.7,6,78,08:59 PM,08:24 AM,06:54 AM,05:42 PM,8,19,20,19,34,17,50,3.6,1019,24,10,286,18,queens
2009-08-10,25,15,0.0,8.7,6,71,09:57 PM,08:52 AM,06:53 AM,05:43 PM,7,19,19,19,28,0,47,0.0,1017,25,10,249,15,queens
2009-08-11,23,14,0.0,8.7,4,64,10:57 PM,09:22 AM,06:53 AM,05:43 PM,8,15,17,15,22,26,62,1.7,1018,23,10,216,14,queens
2009-08-12,20,10,0.0,8.7,5,57,11:59 PM,09:55 AM,06:52 AM,05:44 PM,4,14,15,14,38,18,54,1.2,1012,20,10,189,28,queens
